threshold,window,ctrlset,restriction,outcome,fespec,b,se,p,N,households,clusters,meandv,treated_hh,treated_counties,control_hh,control_counties
completed_t,w12_14_c2016,never_plus_next,full,asinh_rentin,hh_provyear,.1206494832401418,.080556624,.13641587,2872,1436,144,.2713071699240296,133,13,1303,131
completed_t,w12_14_c2016,never_plus_next,full,asinh_rentin,hh_year,.0646634202269344,.070420444,.36003533,2872,1436,144,.2713071699240296,133,13,1303,131
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_abandon,hh_provyear,0,0,,232,116,11,.1551724137931035,42,3,74,8
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_abandon,hh_year,-.1171428571428571,.17568274,.51865005,234,117,12,.1538461538461539,42,3,75,9
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,hh_provyear,0,0,,238,119,11,.2310924369747899,41,3,78,8
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,hh_year,.0351960481630133,.11726221,.76966023,240,120,12,.2333333333333333,41,3,79,9
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_abandon,hh_provyear,0,0,,232,116,11,.178567131572864,42,3,74,8
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_abandon,hh_year,-.062670283915787,.20670293,.76740211,234,117,12,.1770409167730959,42,3,75,9
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_land_total,hh_provyear,0,0,,228,114,11,1.715489042073338,41,3,73,8
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_land_total,hh_year,-.0338589802087166,.22549191,.88335937,230,115,12,1.737249946486111,41,3,74,9
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,hh_provyear,0,0,,238,119,11,.382481726520403,41,3,78,8
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,hh_year,.0063720108890796,.17529511,.97165442,240,120,12,.3948703622588228,41,3,79,9
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_abandon,hh_provyear,0,0,,258,129,12,.1434108527131783,55,4,74,8
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_abandon,hh_year,-.0933333333333335,.14200091,.52341253,260,130,13,.1423076923076923,55,4,75,9
