threshold,window,ctrlset,restriction,outcome,fespec,b,se,p_cluster,p_wild,N,households,clusters,treated_hh,treated_counties,control_hh,control_counties
high_sat80_t,w12_14_c2016,next_only,full,any_rentin,hh_year,.0102739726027397,.084250733,.90320837,.83283281,1689,1198,93,564,41,634,52
high_sat80_t,w12_14_c2016,next_only,full,asinh_rentin,hh_provyear,0,0,,,1689,1198,93,564,41,634,52
high_sat80_t,w12_14_c2016,next_only,full,asinh_rentin,hh_year,.0031343187211,.14121459,.98234016,.95595598,1689,1198,93,564,41,634,52
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,any_rentin,hh_provyear,-.0327885700566621,.073994257,.65814394,.31831831,3954,3211,206,1335,80,1876,126
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,any_rentin,hh_year,-.026112086625695,.085140578,.75938773,.46946946,3954,3211,206,1335,80,1876,126
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,hh_provyear,-.0135755690803769,0,,.83283281,3949,3209,206,1335,80,1874,126
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,hh_year,-.0044455686410778,.16594905,.97865427,.94394392,3949,3209,206,1335,80,1874,126
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,hh_provyear,-.0354303425248294,.080744348,.66129476,.32632634,3789,3095,196,1204,71,1891,125
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,hh_year,-.0264047953921372,.089482814,.76824492,.4914915,3789,3095,196,1204,71,1891,125
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,hh_provyear,-.0179123467361275,.15585202,.9086175,.7897898,3784,3093,196,1204,71,1889,125
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,hh_year,-.0075441363101132,.17816369,.96626794,.91291291,3784,3093,196,1204,71,1889,125
high_sat80_t,w14_16_c2018,never_only,full,any_rentin,hh_provyear,-.0327885700566622,0,,.31431431,4122,3374,218,1335,80,2039,138
high_sat80_t,w14_16_c2018,never_only,full,any_rentin,hh_year,-.0283256839290232,.086430572,.74343359,.43643644,4122,3374,218,1335,80,2039,138
high_sat80_t,w14_16_c2018,never_only,full,asinh_rentin,hh_provyear,-.013575569080377,.14240438,.9241398,.8098098,4117,3372,218,1335,80,2037,138
high_sat80_t,w14_16_c2018,never_only,full,asinh_rentin,hh_year,-.0086804756357965,.16842508,.95894337,.9099099,4117,3372,218,1335,80,2037,138
