threshold,window,ctrlset,restriction,outcome,treated_pre,treated_post,treated_change,control_pre,control_post,control_change,diff_change,se,p,treated_hh,control_hh
completed_t,w12_14_c2016,next_only,full,any_abandon,.0962962962962963,.06666667,-.029629629,.093333334,.18666667,.093333334,-.12296297,.061685789,.05937181,135,75
completed_t,w12_14_c2016,next_only,full,any_rentin,.1654135338345865,.18045112,.015037594,.16455697,.20253165,.037974682,-.022937089,.096316934,.8140794,133,79
completed_t,w12_14_c2016,next_only,full,asinh_abandon,.118366673212524,.083271988,-.035094686,.13347304,.19606613,.062593088,-.097687773,.075044826,.20710951,135,75
completed_t,w12_14_c2016,next_only,full,asinh_land_total,2.103396528502703,2.1745944,.071197897,1.7407856,1.9448123,.20402671,-.13282882,.20964591,.53319132,138,74
completed_t,w12_14_c2016,next_only,full,asinh_rentin,.2614364559568972,.29208562,.030649168,.27512246,.41626316,.1411407,-.11049153,.15872632,.4939909,133,79
completed_t,w12_14_c2018,never_only,drop_adminstart2014,any_abandon,.0933333333333333,.18666667,.093333334,.10323709,.15048119,.047244094,.046089239,.030184397,.1294563,75,1143
completed_t,w12_14_c2018,never_only,drop_adminstart2014,any_rentin,.1645569620253164,.20253165,.037974682,.14612676,.12940142,-.016725352,.054700036,.084214896,.51725876,79,1136
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_abandon,.1334730377121721,.19606613,.062593088,.1691923,.24436985,.075177558,-.012584469,.049733181,.80067784,75,1142
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_land_total,1.740785566792904,1.9448123,.20402671,1.879454,2.1157968,.2363428,-.0323161,.20402569,.87441844,74,1086
completed_t,w12_14_c2018,never_only,drop_adminstart2014,asinh_rentin,.2751224611917025,.41626316,.1411407,.29341009,.24651119,-.04689889,.18803959,.14443205,.19547807,79,1136
completed_t,w12_14_c2018,never_only,drop_official2014prov,any_abandon,.0933333333333333,.18666667,.093333334,.098630138,.14977169,.051141553,.042191781,.030257259,.16592178,75,1095
completed_t,w12_14_c2018,never_only,drop_official2014prov,any_rentin,.1645569620253164,.20253165,.037974682,.14613971,.13143383,-.014705882,.052680567,.084290318,.53323799,79,1088
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_abandon,.1334730377121721,.19606613,.062593088,.16725989,.24257791,.075318024,-.012724935,.050359782,.80097419,75,1094
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_land_total,1.740785566792904,1.9448123,.20402671,1.8980392,2.139555,.2415157,-.037488997,.20463774,.85497183,74,1040
completed_t,w12_14_c2018,never_only,drop_official2014prov,asinh_rentin,.2751224611917025,.41626316,.1411407,.29724324,.25499988,-.042243361,.18338406,.1447577,.20781933,79,1088
completed_t,w12_14_c2018,never_only,full,any_abandon,.0933333333333333,.18666667,.093333334,.10073111,.14459789,.043866776,.049466558,.029743692,.098702669,75,1231
completed_t,w12_14_c2018,never_only,full,any_rentin,.1645569620253164,.20253165,.037974682,.14379086,.12745099,-.01633987,.054314554,.084058888,.51932198,79,1224
completed_t,w12_14_c2018,never_only,full,asinh_abandon,.1334730377121721,.19606613,.062593088,.16454954,.23510711,.070557564,-.007964476,.048401408,.86955339,75,1230
completed_t,w12_14_c2018,never_only,full,asinh_land_total,1.740785566792904,1.9448123,.20402671,1.8937769,2.1305637,.23678687,-.032760166,.20320283,.87217116,74,1169
completed_t,w12_14_c2018,never_only,full,asinh_rentin,.2751224611917025,.41626316,.1411407,.28857312,.24325392,-.045319188,.18645988,.14403325,.19776632,79,1224
