bundle,bundle_label,outcome,anchor,controls,stress,blocks,N,clusters,n_exog,n_instruments,dropped_exog,dropped_instr,ols_b,ols_se,ols_p,iv_b,iv_se,iv_p,first_stage_f,first_stage_p,partial_r2,ar_zero_stat,ar_zero_p,sargan_p,basmann_p,wooldridge_overid_p,status
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,channel_gov_mobility_main,channel_gov_mobility_imp_main,2772.0,130.0,7.0,2.0,BMgov_mobility_b14_mobility_ease_miss,,0.30546942043781644,0.1389384121409341,0.02790667022678095,0.6312619027932267,0.2523207027877939,0.012355545067514129,8.281813074919144,0.015908423383963588,0.2932133842888406,10.855611082924941,0.0043927248861217565,0.07868858306182724,0.07900828034393403,0.016223491534578693,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,geo_dev_main_plus_rent,"geo_dev_main,channel_rent_imp_main",2772.0,130.0,11.0,2.0,"BMrent_b14_asinh_rentin_miss,BIrent_b14_any_rentout_imp,BMrent_b14_any_rentout_miss,BIrent_b14_asinh_rentout_imp,BMrent_b14_asinh_rentout_miss",,0.23277867666687468,0.18685605810380498,0.21285080150906488,0.4698761085494212,0.32754202628131024,0.1514147665215344,8.814651063439898,0.012187730479238823,0.3201822808199456,4.143709926365103,0.12595192868723867,0.1648309462956744,0.1656774306019031,0.09672318167308369,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,geo_dev_main_plus_land,"geo_dev_main,channel_land_imp_main",2772.0,130.0,10.0,2.0,"BIland_b14_contract_land_mu_imp,BMland_b14_contract_land_mu_miss",,0.3060063893216233,0.14546970015093702,0.035415557731864444,0.6009553472326166,0.28644495215678245,0.03590704584560922,8.790724507585047,0.012334411328741468,0.3200713520439401,5.353331855591073,0.06879213015995325,0.3822443752407788,0.3832109967924817,0.2776369192161402,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,geo_dev_main_plus_labor_cost,"geo_dev_main,channel_labor_cost_imp_main",2772.0,130.0,12.0,2.0,"BMlabor_cost_b14_nonfarm_n_miss,BMlabor_cost_b14_nonfarm_any_miss",,0.2883644413033205,0.14182438363902522,0.04202726242374344,0.59011883592441,0.28671479304171005,0.03957011906788899,8.816285196231064,0.012177776361367298,0.31681100009659624,5.073884499045305,0.07910792263239058,0.36199383078415837,0.36313696300661547,0.25350038824564747,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,geo_dev_main_plus_gov_mobility,"geo_dev_main,channel_gov_mobility_imp_main",2772.0,130.0,11.0,2.0,BMgov_mobility_b14_mobility_ease_miss,,0.31839372936503296,0.14216301946187485,0.025114420479624755,0.6130141492072435,0.2881470876389151,0.03338397111832325,9.410500663002852,0.00904764902282551,0.3375427125347745,6.417700046939718,0.04040304912508314,0.3002014654970455,0.3012439551283663,0.1904086663459843,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,baseline_channels_imputed_main,baseline_channels_imp_main,2772.0,130.0,16.0,2.0,"BM_b14_asinh_rentin_miss,BI_b14_any_rentout_imp,BM_b14_any_rentout_miss,BI_b14_asinh_rentout_imp,BM_b14_asinh_rentout_miss,BI_b14_contract_land_mu_imp,BM_b14_contract_land_mu_miss,BM_b14_nonfarm_n_miss,BM_b14_nonfarm_any_miss,BM_b14_mobility_ease_miss",,0.25174250662863845,0.16666736739528176,0.1309289727521472,0.4274956405984923,0.2632880453242874,0.1044440347298945,8.539991945989101,0.013981839458168666,0.2938230326059992,7.603717242983708,0.022329231674499864,0.03779979106748921,0.038276871930981726,0.01060533746258896,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,geo_dev_main_plus_channels_main,"geo_dev_main,baseline_channels_imp_main",2772.0,130.0,20.0,2.0,"BM_b14_asinh_rentin_miss,BI_b14_any_rentout_imp,BM_b14_any_rentout_miss,BI_b14_asinh_rentout_imp,BM_b14_asinh_rentout_miss,BI_b14_contract_land_mu_imp,BM_b14_contract_land_mu_miss,BM_b14_nonfarm_n_miss,BM_b14_nonfarm_any_miss,BM_b14_mobility_ease_miss",,0.275437590542786,0.18449774711141742,0.135462082552954,0.5280927826780654,0.3305312676521702,0.11010775380115367,9.656440326729001,0.008000748626527776,0.33480309433606714,4.9969087393194,0.08221196978821979,0.1592471725745438,0.16076226828238482,0.09335829235212667,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,geo_dev_main_channels_main_plus_Z,"lower_order_z,geo_dev_main,baseline_channels_imp_main",2772.0,130.0,22.0,2.0,"BM_b14_asinh_rentin_miss,BI_b14_any_rentout_imp,BM_b14_any_rentout_miss,BI_b14_asinh_rentout_imp,BM_b14_asinh_rentout_miss,BI_b14_contract_land_mu_imp,BM_b14_contract_land_mu_miss,BM_b14_nonfarm_n_miss,BM_b14_nonfarm_any_miss,BM_b14_mobility_ease_miss",,0.2675796559058306,0.18306527205894993,0.14383369922023004,0.504576152125243,0.3143844052842663,0.10850137780521862,9.423105715779808,0.008990805293817794,0.3444106281793524,5.087150485414993,0.07858493671916722,0.19187702472941437,0.19367501141725618,0.1038057820791396,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,direct_geo_trends,geo_direct,2772.0,130.0,10.0,2.0,,,0.3178929947951939,0.13292963925566947,0.016782516794003,0.3305532507588135,0.21364919565457988,0.12182042473803611,18.19515954433403,0.00011193639249318377,0.38204023745177096,3.90871393427123,0.1416555365791895,0.04322376137452821,0.04352366493901405,0.03128603090945481,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,direct_geo_trends_plus_Z,"lower_order_z,geo_direct",2772.0,130.0,12.0,2.0,,,0.2941783330238779,0.12872331956330027,0.022292088165095203,0.18822782593173756,0.21261031516233297,0.3759849240082924,17.78015928310184,0.00013774868702565168,0.3980613348008657,2.33256776300885,0.3115224472651955,0.06872426141003884,0.06926124250593424,0.06381798294394425,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,direct_geo_dev_trends_plus_Z,"lower_order_z,geo_dev_direct",2772.0,130.0,14.0,2.0,,,0.29310146664904796,0.13332709771376128,0.02792319043111835,0.18603860406689332,0.21687466517943504,0.3909939555085513,17.617778798349917,0.0001493990865847339,0.395600991867572,2.0357562636049877,0.361360887441009,0.07951077530073014,0.08021597902899269,0.07209160015065597,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,baseline_channels_plus_Z,"lower_order_z,baseline_channels",,,,,,,,,,,,,,,,,,,,,error: too few observations
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,farm_income,full_exclusion_controls,"lower_order_z,geo_dev_direct,baseline_channels",,,,,,,,,,,,,,,,,,,,,error: too few observations
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,baseline_bundle,baseline,none,2532.0,128.0,10.0,2.0,,,0.2774287977544273,0.14850961545717925,0.06175002434051846,0.6184247257627855,0.2605618178852717,0.017623826609939552,9.029426666026847,0.010946742746840155,0.28718398045018023,10.517464698296429,0.0052018947271896395,0.4310874259113443,0.4321250520776796,0.25336497739735464,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,baseline_bundle,lower_order_Z,lower_order_z,2532.0,128.0,12.0,2.0,,,0.23405307562978972,0.1396188293176904,0.09366537863686197,0.2833193800000898,0.20907640772265712,0.17538579028815038,9.236770967759917,0.009868716407625211,0.31519070001948146,1.9188246634907897,0.3831179660988578,0.5687671980146096,0.5698130528629741,0.46346000382067987,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,baseline_bundle,direct_geo_main_trends,geo_main,2532.0,128.0,13.0,2.0,,,0.2763319436801759,0.14120381096074525,0.05035072766958604,0.5072217835250656,0.25057220795359864,0.042944028396593836,9.325930165062035,0.009438435131531087,0.31399853469483674,5.093119949082361,0.07835073145072417,0.70557247129108,0.7063973990241605,0.6117197678275922,ok
geo_plus_net,terrain-area difficulty + net-distance survey difficulty,asinh_rentin,signoff_or_issue_t,baseline_bundle,direct_geo_dev_main_trends,geo_dev_main,2532.0,128.0,14.0,2.0,,,0.28007746271920425,0.14387307708164596,0.05157092543907371,0.5085454672456204,0.25564027779570614,0.04666798636392899,9.30238625409789,0.009550200527662533,0.3142807988813311,4.830346346688337,0.08935186422075421,0.8090355662472496,0.8096261131573702,0.7521222898120328,ok
