subset,k,farm_income_any_rentin_b,farm_income_any_rentin_se,farm_income_any_rentin_p,farm_income_any_rentin_first_stage_f,farm_income_any_rentin_partial_r2,farm_income_any_rentin_overid_p,farm_income_any_rentin_N,farm_income_any_rentin_clusters,farm_income_asinh_rentin_b,farm_income_asinh_rentin_se,farm_income_asinh_rentin_p,farm_income_asinh_rentin_first_stage_f,farm_income_asinh_rentin_partial_r2,farm_income_asinh_rentin_overid_p,farm_income_asinh_rentin_N,farm_income_asinh_rentin_clusters,baseline_bundle_any_rentin_b,baseline_bundle_any_rentin_se,baseline_bundle_any_rentin_p,baseline_bundle_any_rentin_first_stage_f,baseline_bundle_any_rentin_partial_r2,baseline_bundle_any_rentin_overid_p,baseline_bundle_any_rentin_N,baseline_bundle_any_rentin_clusters,baseline_bundle_asinh_rentin_b,baseline_bundle_asinh_rentin_se,baseline_bundle_asinh_rentin_p,baseline_bundle_asinh_rentin_first_stage_f,baseline_bundle_asinh_rentin_partial_r2,baseline_bundle_asinh_rentin_overid_p,baseline_bundle_asinh_rentin_N,baseline_bundle_asinh_rentin_clusters,Fmin,pmax_farm,pmax_base,overid_min,score
dist+workload+costwork+burden4,4,0.18309118203091906,0.10189420490681296,0.07235541552412239,21.516118556261347,0.4485818114027763,0.3071868730025047,2772,130,0.4203238995657338,0.21880565176618577,0.05473272011445207,21.51647416499469,0.4485606869506301,0.09512700570502264,2766,130,0.16942507501132725,0.10749429118149581,0.1149956367797964,23.817777802297314,0.4357213332705213,0.4947613895961541,2532,128,0.38713790249249913,0.21008998032142912,0.0653692807907933,23.81796627770268,0.43570944339464335,0.3024062011834383,2526,128,21.516118556261347,0.07235541552412239,0.1149956367797964,0.09512700570502264,8
net+raw+costwork+burden4,4,0.18309118203091457,0.10189420490681322,0.07235541552413016,21.51611855625896,0.44858181140277675,0.3071868730025047,2772,130,0.4203238995657364,0.2188056517661865,0.054732720114451405,21.516474165011175,0.4485606869506302,0.09512700570503507,2766,130,0.16942507501132595,0.10749429118149184,0.11499563677978575,23.817777802307944,0.4357213332705214,0.4947613895961541,2532,128,0.38713790249247826,0.21008998032142076,0.06536928079079707,23.81796627763896,0.43570944339464335,0.3024062011833688,2526,128,21.51611855625896,0.07235541552413016,0.11499563677978575,0.09512700570503507,8
net+raw+dist+costwork,4,0.18309118203092425,0.10189420490681303,0.07235541552411462,21.51611855625176,0.4485818114027761,0.3071868730025047,2772,130,0.4203238995657206,0.2188056517661834,0.054732720114456956,21.51647416498131,0.44856068695062956,0.09512700570499666,2766,130,0.1694250750113184,0.10749429118149126,0.11499563677980018,23.817777802225816,0.4357213332705212,0.4947613895962588,2532,128,0.3871379024924926,0.21008998032141973,0.06536928079078574,23.81796627765881,0.4357094433946431,0.3024062011834383,2526,128,21.51611855625176,0.07235541552411462,0.11499563677980018,0.09512700570499666,8
geo+raw+workload+burden4,4,0.18309118203092406,0.10189420490681414,0.07235541552411795,21.516118556227923,0.4485818114027763,0.3071868730025047,2772,130,0.42032389956573146,0.2188056517661856,0.05473272011445318,21.516474164994577,0.44856068695063,0.09512700570503507,2766,130,0.16942507501131981,0.10749429118149084,0.11499563677979552,23.817777802242972,0.43572133327052154,0.4947613895961541,2532,128,0.3871379024924789,0.21008998032141935,0.06536928079079485,23.81796627769336,0.43570944339464335,0.3024062011833688,2526,128,21.516118556227923,0.07235541552411795,0.11499563677979552,0.09512700570503507,8
geo+net+workload+burden4,4,0.18309118203093067,0.10189420490681282,0.07235541552410396,21.516118556214337,0.4485818114027753,0.3071868730025047,2772,130,0.42032389956567395,0.21880565176616706,0.05473272011446584,21.51647416554522,0.4485606869506288,0.09512700570499666,2766,130,0.16942507501133847,0.10749429118149535,0.11499563677977087,23.817777801825628,0.4357213332705203,0.4947613895962588,2532,128,0.38713790249250674,0.21008998032142814,0.06536928079078663,23.817966278826248,0.43570944339464146,0.3024062011833688,2526,128,21.516118556214337,0.07235541552410396,0.11499563677977087,0.09512700570499666,8
geo+net+costwork+burden4,4,0.18309118203092303,0.10189420490681324,0.07235541552411706,21.51611855619649,0.4485818114027761,0.3071868730025047,2772,130,0.4203238995656812,0.2188056517661701,0.05473272011446495,21.516474164873443,0.44856068695062934,0.09512700570499666,2766,130,0.16942507501132914,0.10749429118149435,0.11499563677978752,23.817777802374053,0.435721333270521,0.4947613895961541,2532,128,0.3871379024925071,0.21008998032142787,0.06536928079078619,23.817966277734286,0.43570944339464224,0.3024062011834383,2526,128,21.51611855619649,0.07235541552411706,0.11499563677978752,0.09512700570499666,8
geo+net+dist+workload,4,0.18309118203092284,0.10189420490681501,0.07235541552412239,21.51611855617724,0.44858181140277675,0.3071868730023889,2772,130,0.42032389956577776,0.21880565176620012,0.054732720114442523,21.516474164992818,0.4485606869506308,0.09512700570503507,2766,130,0.16942507501131515,0.10749429118148843,0.11499563677979752,23.817777802207047,0.4357213332705221,0.4947613895962588,2532,128,0.3871379024924663,0.21008998032141404,0.06536928079079685,23.817966277875037,0.43570944339464435,0.3024062011833688,2526,128,21.51611855617724,0.07235541552412239,0.11499563677979752,0.09512700570503507,8
geo+raw+dist+costwork,4,0.1830911820309209,0.10189420490681156,0.07235541552411573,21.516118556065774,0.4485818114027754,0.30718687300262115,2772,130,0.4203238995657218,0.2188056517661809,0.054732720114453404,21.516474164966876,0.448560686950629,0.09512700570507382,2766,130,0.16942507501133147,0.10749429118149319,0.11499563677977864,23.817777802175158,0.4357213332705203,0.4947613895962588,2532,128,0.38713790249248153,0.21008998032141918,0.06536928079079285,23.817966278057003,0.4357094433946419,0.3024062011834716,2526,128,21.516118556065774,0.07235541552411573,0.11499563677977864,0.09512700570507382,8
geo+dist+workload+costwork,4,0.18309118203092895,0.10189420490681647,0.07235541552411684,21.516118556042557,0.44858181140277575,0.30718687300254377,2772,130,0.42032389956573113,0.21880565176618008,0.054732720114447186,21.51647416464266,0.44856068695062845,0.09512700570499666,2766,130,0.16942507501132803,0.10749429118148847,0.11499563677976998,23.817777802311866,0.435721333270521,0.4947613895961541,2532,128,0.3871379024924753,0.21008998032140933,0.06536928079078441,23.817966278216772,0.4357094433946427,0.3024062011833688,2526,128,21.516118556042557,0.07235541552411684,0.11499563677976998,0.09512700570499666,8
geo+net+raw+burden4,4,0.1830911820309396,0.10189420490681801,0.07235541552410463,21.516118554451555,0.44858181140277864,0.30718687300254377,2772,130,0.4203238995658194,0.21880565176622124,0.05473272011444186,21.51647416387238,0.4485606869506318,0.09512700570502264,2766,130,0.16942507501128512,0.10749429118147771,0.11499563677982572,23.817777797075642,0.43572133327052387,0.4947613895963112,2532,128,0.3871379024924658,0.21008998032140186,0.06536928079078153,23.817966274587366,0.435709443394647,0.3024062011834716,2526,128,21.516118554451555,0.07235541552410463,0.11499563677982572,0.09512700570502264,8
geo+net+raw+workload,4,0.18309118203094552,0.10189420490681965,0.07235541552409996,21.51611855246156,0.4485818114027784,0.30718687300242764,2772,130,0.4203238995657613,0.21880565176620342,0.054732720114455624,21.516474164938092,0.4485606869506319,0.09512700570495836,2766,130,0.16942507501130036,0.10749429118147989,0.1149956367798004,23.81777779779252,0.4357213332705242,0.4947613895962588,2532,128,0.38713790249243113,0.2100899803213953,0.06536928079079729,23.817966273108492,0.4357094433946468,0.30240620118326733,2526,128,21.51611855246156,0.07235541552409996,0.1149956367798004,0.09512700570495836,8
