bundle,outcome,stress,N,clusters,n_exog,n_instruments,iv_b,iv_se,iv_p,first_stage_f,partial_r2,ar_zero_p,sargan_p,wooldridge_overid_p
geo_area_rugged,asinh_rentin,geo_dev_main_plus_rent,2526.0,128.0,17.0,1.0,0.2937300080979212,0.2463328276627049,0.2331000739657731,9.276078322548251,0.243447816643561,0.2185562263256865,,
geo_area_rugged,any_rentin,lower_order_Z,2532.0,128.0,11.0,1.0,0.1442354844554341,0.1409609953702409,0.3061992285009283,7.962537037068698,0.246199517464724,0.3058926726525693,,
geo_area_rugged,asinh_rentin,lower_order_Z,2526.0,128.0,11.0,1.0,0.280190684099721,0.220090762360999,0.2029936269343912,7.959474519757968,0.2461494233317709,0.1917769506069177,,
geo_plus_net,any_rentin,baseline,2532.0,128.0,10.0,2.0,0.3039544439861336,0.1506745867359673,0.0436651845795541,9.509857879802338,0.2539438662099869,0.0225321477565725,0.8846387174098551,0.8862777654898893
geo_plus_net,asinh_rentin,baseline,2526.0,128.0,10.0,2.0,0.6186568119499997,0.2579203901714722,0.0164563201484249,9.51122349654978,0.253971959718527,0.0046444985384984,0.4065112540516602,0.2318009689445727
geo_plus_net,any_rentin,channel_gov_mobility_main,2532.0,128.0,13.0,2.0,0.3079668071847674,0.1530587496803709,0.0442112579708999,9.70896955530435,0.2601966788797198,0.0277555644023235,0.849595211099713,0.8500945820394978
geo_plus_net,asinh_rentin,channel_gov_mobility_main,2526.0,128.0,13.0,2.0,0.6470999067432305,0.2762721597706531,0.0191676028861214,9.711188803361146,0.2602466198313681,0.0035011705629752,0.2998293154887418,0.1432811225832195
geo_plus_net,any_rentin,channel_labor_cost_main,2532.0,128.0,14.0,2.0,0.2982818118521709,0.1559594347578667,0.0558043755545747,9.566385500555665,0.2546168340050825,0.023798639118798,8.066217360713779e-09,0.8726511889421263
geo_plus_net,asinh_rentin,channel_labor_cost_main,2526.0,128.0,14.0,2.0,0.5912154184235348,176436.58984583357,0.9999973263955346,9.554152421960511,0.2546139015157326,0.0072292459597234,4.199322167108832e-05,0.2553038490739024
geo_plus_net,any_rentin,channel_rent_main,2532.0,128.0,13.0,2.0,0.1548977819237121,0.1147545664086538,0.1770743623000235,9.585439854819509,0.2533859371536028,0.0946951343074597,0.3422278446921685,0.3498364479995749
geo_plus_net,asinh_rentin,channel_rent_main,2526.0,128.0,13.0,2.0,0.4166956193267359,0.2440304929083518,0.0877188445438361,9.587014313194825,0.2534179750739664,0.0153338673350231,0.165252122376353,0.071339235459704
geo_plus_net,any_rentin,direct_geo_dev_main_trends,2532.0,128.0,14.0,2.0,0.2597288675149973,0.1332506946986029,0.0512745790005135,10.188216318122032,0.2832903987920172,0.0678796304776659,0.7978860244046053,0.7962349857047453
geo_plus_net,asinh_rentin,direct_geo_dev_main_trends,2526.0,128.0,14.0,2.0,0.4936300372132782,0.2474643926180407,0.046069959080246,10.191170156983386,0.2834570241706481,0.0940480087904296,0.7453151535022269,0.6740489812328169
geo_plus_net,any_rentin,direct_geo_main_trends,2532.0,128.0,13.0,2.0,0.2593854744831103,0.1329028539085229,0.0509747492530865,10.191575629424854,0.2832840595371381,0.0686661407449852,0.7829242283613691,0.7843320994070251
geo_plus_net,asinh_rentin,direct_geo_main_trends,2526.0,128.0,13.0,2.0,0.4915568654507447,0.2422025369864013,0.0424045253505529,10.194609872728488,0.2834528159416751,0.0819547900157274,0.6452279684281368,0.5391792461648954
geo_plus_net,any_rentin,direct_geo_trends_plus_Z,2532.0,128.0,18.0,2.0,0.031370252670598,0.1120343587128587,0.7794731753666422,22.153616212200813,0.3540171833115997,0.0480738139422446,0.0469680713984687,0.0624434058786012
geo_plus_net,asinh_rentin,direct_geo_trends_plus_Z,2526.0,128.0,18.0,2.0,0.0881248674827328,0.205415724119279,0.6679178331920115,22.20425599981285,0.3542924884824083,0.4748914920578608,0.2154259077819089,0.194438003764336
