names,k,b_any_farm,p_any_farm,F_farm,over_any_farm,p_area_farm,over_area_farm,b_area_farm,b_any_base,p_any_base,F_base,over_any_base,p_area_base,over_area_base,b_area_base,score
net+raw+area+dist+workload,5,0.16601909118995364,0.09311006715045345,28.0651835313824,0.16430191265407923,0.057132017378564104,0.033940325789017844,0.3855713744548759,0.15452285433137247,0.13895784958826773,31.528286571311515,0.41530841131413077,0.06824705437861844,0.21764867353427408,0.36095883574544696,9
raw+rugged+dist+workload+burden4,5,0.16601909118994934,0.09311006715045456,28.065183531392506,0.16430191265413718,0.05713201737855633,0.033940325789017844,0.38557137445489076,0.15452285433137064,0.1389578495882715,31.52828657130874,0.41530841131413077,0.06824705437861867,0.21764867353427408,0.3609588357454484,9
net+raw+rugged+workload+burden4,5,0.16601909118994734,0.09311006715045766,28.065183531387163,0.1643019126541565,0.05713201737856455,0.033940325789017844,0.3855713744548732,0.15452285433137042,0.13895784958827284,31.528286571304307,0.41530841131413077,0.06824705437861445,0.21764867353427408,0.36095883574545673,9
geo+raw+rugged+workload+burden4,5,0.16601909118995103,0.09311006715045322,28.06518353139046,0.16430191265413718,0.05713201737856566,0.033940325789017844,0.3855713744548696,0.15452285433136861,0.13895784958827795,31.528286571302658,0.41530841131413077,0.06824705437861356,0.21764867353427408,0.3609588357454572,9
rugged+dist+workload+costwork+burden4,5,0.16601909118994748,0.093110067150459,28.065183531361527,0.16430191265419536,0.05713201737856499,0.033940325789017844,0.3855713744548764,0.15452285433137483,0.13895784958826995,31.528286571302033,0.41530841131413077,0.06824705437861556,0.21764867353427408,0.3609588357454646,9
raw+rugged+area+workload+burden4,5,0.16601909118994734,0.09311006715045766,28.06518353141928,0.16430191265419536,0.05713201737856033,0.033940325789017844,0.38557137445487955,0.15452285433137125,0.13895784958827018,31.52828657130169,0.41530841131405327,0.06824705437862133,0.21764867353427408,0.3609588357454442,9
geo+net+rugged+area+costwork,5,0.16601909118995528,0.09311006715044945,28.06518353118896,0.16430191265419536,0.05713201737857654,0.033940325789017844,0.38557137445484935,0.15452285433136778,0.13895784958828727,31.528286571299546,0.41530841131405327,0.06824705437861489,0.21764867353427408,0.36095883574546117,9
area+dist+workload+costwork+burden4,5,0.16601909118995445,0.09311006715044745,28.065183531346634,0.1643019126541565,0.05713201737856122,0.033940325789017844,0.3855713744548811,0.15452285433136959,0.13895784958827884,31.528286571299304,0.41530841131413077,0.0682470543786109,0.21764867353427408,0.3609588357454722,9
geo+rugged+area+workload+costwork,5,0.16601909118995792,0.09311006715044345,28.06518353141293,0.16430191265402116,0.05713201737857121,0.033940325789004744,0.3855713744548586,0.1545228543313657,0.13895784958828905,31.528286571298775,0.4153084113139761,0.06824705437861178,0.21764867353420625,0.36095883574546134,9
geo+net+area+dist+burden4,5,0.1660190911899395,0.09311006715048142,28.065183531236343,0.1643019126541565,0.057132017378555666,0.033940325789022174,0.38557137445490924,0.15452285433135965,0.13895784958829038,31.52828657129702,0.41530841131405327,0.06824705437861622,0.21764867353422868,0.360958835745445,9
geo+net+rugged+dist+workload,5,0.16601909118994668,0.09311006715046788,28.065183531438517,0.16430191265413718,0.057132017378556554,0.033940325789030945,0.3855713744549072,0.15452285433135776,0.13895784958829505,31.52828657129616,0.41530841131405327,0.06824705437862288,0.21764867353427408,0.3609588357454362,9
geo+area+dist+workload+burden4,5,0.16601909118995428,0.09311006715044878,28.06518353134919,0.1643019126541565,0.05713201737856366,0.033940325789022174,0.3855713744548748,0.15452285433137175,0.13895784958827218,31.52828657129487,0.41530841131413077,0.06824705437861867,0.21764867353427408,0.3609588357454502,9
geo+raw+rugged+area+workload,5,0.16601909118995797,0.09311006715044434,28.0651835311711,0.16430191265407923,0.0571320173785701,0.033940325789017844,0.3855713744548614,0.1545228543313678,0.1389578495882864,31.528286571290778,0.41530841131413077,0.06824705437861667,0.21764867353420625,0.36095883574545606,9
raw+rugged+dist+costwork+burden4,5,0.16601909118995103,0.09311006715045189,28.065183531402738,0.16430191265413718,0.05713201737855744,0.033940325789017844,0.3855713744548866,0.15452285433137242,0.1389578495882704,31.528286571289414,0.41530841131413077,0.0682470543786231,0.21764867353427408,0.3609588357454441,9
geo+net+rugged+area+workload,5,0.16601909118996122,0.09311006715043924,28.065183531361683,0.16430191265407923,0.05713201737857032,0.03394032578899164,0.38557137445485634,0.15452285433137045,0.13895784958827995,31.528286571288458,0.41530841131416907,0.06824705437861422,0.21764867353427408,0.36095883574546084,9
net+raw+rugged+dist+costwork,5,0.16601909118995012,0.093110067150459,28.06518353135885,0.16430191265411798,0.05713201737856166,0.033940325789022174,0.3855713744548812,0.15452285433136803,0.13895784958827861,31.52828657128784,0.41530841131405327,0.06824705437861844,0.21764867353427408,0.3609588357454485,9
rugged+area+workload+costwork+burden4,5,0.16601909118994995,0.09311006715045567,28.065183531377443,0.16430191265419536,0.05713201737856233,0.033940325789017844,0.38557137445487416,0.1545228543313718,0.1389578495882764,31.52828657128663,0.41530841131405327,0.06824705437862044,0.21764867353427408,0.3609588357454594,9
net+rugged+area+dist+burden4,5,0.1660190911899527,0.09311006715045544,28.06518353136947,0.16430191265407923,0.057132017378562105,0.033940325789017844,0.38557137445488576,0.15452285433136492,0.13895784958828372,31.528286571284806,0.41530841131413077,0.06824705437861334,0.21764867353427408,0.36095883574545357,9
geo+raw+area+costwork+burden4,5,0.16601909118994973,0.09311006715045833,28.0651835313825,0.1643019126541565,0.05713201737856588,0.033940325789009074,0.38557137445487416,0.1545228543313724,0.13895784958826995,31.528286571283843,0.41530841131405327,0.06824705437861445,0.21764867353427408,0.36095883574545984,9
net+raw+area+costwork+burden4,5,0.16601909118994881,0.09311006715045655,28.06518353138597,0.16430191265413718,0.057132017378565436,0.033940325789017844,0.3855713744548708,0.154522854331373,0.13895784958826995,31.528286571283218,0.41530841131413077,0.06824705437861533,0.21764867353427408,0.3609588357454576,9
net+area+dist+workload+burden4,5,0.16601909118994632,0.09311006715046388,28.065183531354904,0.16430191265413718,0.057132017378564104,0.033940325789017844,0.385571374454877,0.15452285433136978,0.13895784958827484,31.528286571282592,0.41530841131413077,0.06824705437861867,0.21764867353427408,0.3609588357454483,9
geo+raw+area+workload+burden4,5,0.16601909118994954,0.09311006715045744,28.065183531391824,0.1643019126541565,0.05713201737856388,0.033940325789017844,0.3855713744548761,0.15452285433137197,0.13895784958826907,31.528286571282024,0.41530841131405327,0.06824705437861422,0.21764867353427408,0.3609588357454582,9
net+rugged+workload+costwork+burden4,5,0.16601909118994645,0.0931100671504621,28.065183531376363,0.16430191265413718,0.05713201737856499,0.033940325789009074,0.3855713744548736,0.1545228543313764,0.13895784958826463,31.528286571281512,0.41530841131405327,0.06824705437861134,0.21764867353427408,0.36095883574547116,9
raw+area+dist+costwork+burden4,5,0.16601909118995153,0.09311006715045234,28.065183531370167,0.1643019126541565,0.057132017378557665,0.033940325789017844,0.3855713744548885,0.1545228543313728,0.1389578495882693,31.528286571280546,0.41530841131413077,0.06824705437862111,0.21764867353427408,0.3609588357454502,9
net+rugged+dist+workload+burden4,5,0.16601909118994987,0.09311006715045766,28.065183531367126,0.1643019126541565,0.05713201737856499,0.033940325789017844,0.38557137445487516,0.15452285433136703,0.13895784958828084,31.52828657127955,0.41530841131413077,0.06824705437861356,0.21764867353427408,0.36095883574545623,9
geo+area+workload+costwork+burden4,5,0.16601909118994504,0.09311006715046499,28.065183531395803,0.16430191265413718,0.057132017378562105,0.033940325789017844,0.3855713744548798,0.15452285433137852,0.13895784958826218,31.528286571278443,0.41530841131405327,0.06824705437860934,0.21764867353427408,0.36095883574547366,9
net+raw+area+dist+costwork,5,0.16601909118995553,0.09311006715044967,28.065183531352567,0.16430191265419536,0.05713201737856277,0.03394032578898287,0.38557137445487827,0.15452285433137142,0.13895784958827107,31.528286571275352,0.41530841131405327,0.06824705437861645,0.21764867353427408,0.36095883574545123,9
net+raw+rugged+costwork+burden4,5,0.16601909118994856,0.09311006715045655,28.065183531389437,0.1643019126541565,0.05713201737856188,0.033940325789017844,0.3855713744548802,0.15452285433137264,0.1389578495882695,31.52828657127492,0.41530841131413077,0.06824705437861422,0.21764867353427408,0.3609588357454596,9
net+rugged+area+dist+costwork,5,0.16601909118995403,0.09311006715045123,28.06518353137684,0.16430191265413718,0.057132017378564326,0.033940325789017844,0.3855713744548817,0.1545228543313665,0.13895784958827706,31.52828657127395,0.41530841131416907,0.06824705437861645,0.21764867353427408,0.3609588357454492,9
net+rugged+dist+costwork+burden4,5,0.16601909118994773,0.09311006715046077,28.065183531367666,0.1643019126541565,0.05713201737856477,0.033940325789017844,0.38557137445487727,0.15452285433136995,0.13895784958827528,31.52828657127344,0.41530841131405327,0.06824705437861578,0.21764867353427408,0.3609588357454543,9
net+rugged+area+dist+workload,5,0.16601909118995156,0.09311006715045722,28.065183531367847,0.16430191265413718,0.05713201737856344,0.03394032578899164,0.3855713744548827,0.1545228543313637,0.13895784958828705,31.528286571273345,0.41530841131405327,0.06824705437861711,0.21764867353427408,0.36095883574544907,9
geo+area+dist+costwork+burden4,5,0.1660190911899532,0.09311006715045012,28.06518353134848,0.16430191265413718,0.057132017378563216,0.033940325789022174,0.3855713744548762,0.15452285433137108,0.13895784958827528,31.52828657127236,0.41530841131405327,0.06824705437861422,0.21764867353427408,0.36095883574545895,9
geo+rugged+dist+workload+burden4,5,0.16601909118995603,0.09311006715044545,28.065183531366017,0.1643019126541565,0.057132017378564326,0.033940325789017844,0.3855713744548728,0.15452285433136942,0.13895784958827662,31.52828657127128,0.41530841131413077,0.06824705437861756,0.21764867353427408,0.3609588357454508,9
rugged+area+dist+workload+burden4,5,0.1660190911899458,0.093110067150461,28.065183531350044,0.16430191265413718,0.057132017378560995,0.033940325789017844,0.3855713744548792,0.1545228543313713,0.13895784958827417,31.528286571271224,0.41530841131405327,0.06824705437861667,0.21764867353427408,0.3609588357454555,9
rugged+area+dist+costwork+burden4,5,0.1660190911899483,0.093110067150457,28.065183531356638,0.1643019126541565,0.057132017378556554,0.033940325789017844,0.385571374454888,0.15452285433137267,0.1389578495882713,31.528286571269007,0.41530841131405327,0.068247054378618,0.21764867353427408,0.36095883574545723,9
net+area+workload+costwork+burden4,5,0.1660190911899422,0.09311006715046699,28.065183531365335,0.1643019126541565,0.05713201737856699,0.033940325789017844,0.38557137445486694,0.1545228543313722,0.13895784958827528,31.528286571268836,0.41530841131405327,0.06824705437860112,0.21764867353427408,0.3609588357454878,9
geo+raw+rugged+area+burden4,5,0.16601909118995833,0.09311006715044368,28.06518353135137,0.16430191265413718,0.057132017378568545,0.033940325789017844,0.3855713744548661,0.1545228543313663,0.13895784958829105,31.52828657126824,0.41530841131413077,0.06824705437861289,0.21764867353420625,0.36095883574546406,9
net+rugged+area+workload+costwork,5,0.16601909118995212,0.093110067150457,28.06518353135661,0.16430191265419536,0.05713201737856921,0.033940325789009074,0.38557137445487705,0.1545228543313703,0.1389578495882744,31.52828657126807,0.41530841131413077,0.06824705437861267,0.21764867353427408,0.36095883574546017,9
net+area+dist+costwork+burden4,5,0.16601909118994979,0.09311006715045744,28.065183531369854,0.1643019126541565,0.05713201737856388,0.033940325789017844,0.38557137445487666,0.15452285433137075,0.1389578495882744,31.52828657126628,0.41530841131413077,0.06824705437861645,0.21764867353427408,0.3609588357454542,9
raw+area+dist+workload+burden4,5,0.1660190911899533,0.09311006715044878,28.06518353137716,0.16430191265413718,0.05713201737855944,0.033940325789017844,0.38557137445488276,0.1545228543313703,0.1389578495882724,31.52828657126554,0.41530841131405327,0.06824705437862111,0.21764867353427408,0.3609588357454452,9
net+raw+area+workload+burden4,5,0.16601909118994942,0.09311006715045567,28.06518353134578,0.1643019126541565,0.05713201737856677,0.033940325789017844,0.3855713744548672,0.15452285433136992,0.1389578495882744,31.52828657126338,0.41530841131413077,0.06824705437861378,0.21764867353427408,0.3609588357454574,9
geo+rugged+dist+costwork+burden4,5,0.16601909118995334,0.09311006715044923,28.0651835313746,0.1643019126541565,0.05713201737856588,0.033940325789017844,0.385571374454869,0.1545228543313692,0.13895784958827884,31.52828657126213,0.41530841131413077,0.06824705437861556,0.21764867353427408,0.3609588357454576,9
geo+raw+rugged+costwork+burden4,5,0.16601909118995306,0.09311006715044945,28.065183531375624,0.16430191265413718,0.0571320173785661,0.033940325789022174,0.3855713744548681,0.15452285433137203,0.13895784958827218,31.52828657126048,0.41530841131413077,0.06824705437861356,0.21764867353427408,0.3609588357454614,9
geo+rugged+area+costwork+burden4,5,0.16601909118996205,0.09311006715043568,28.065183531308552,0.16430191265419536,0.05713201737856921,0.03394032578899164,0.38557137445486,0.15452285433136692,0.1389578495882864,31.528286571257006,0.41530841131405327,0.068247054378616,0.21764867353416084,0.3609588357454533,9
net+raw+rugged+area+workload,5,0.16601909118994862,0.09311006715046233,28.06518353136222,0.16430191265411798,0.0571320173785661,0.03394032578896977,0.38557137445487355,0.15452285433135943,0.1389578495882997,31.52828657125016,0.41530841131416907,0.06824705437862111,0.21764867353429673,0.3609588357454447,9
net+raw+rugged+dist+workload,5,0.1660190911899517,0.09311006715045633,28.06518353136486,0.16430191265421457,0.05713201737856455,0.033940325789017844,0.3855713744548771,0.15452285433137253,0.13895784958826818,31.528286571249104,0.41530841131405327,0.06824705437861489,0.21764867353427408,0.36095883574545323,9
net+raw+rugged+area+costwork,5,0.16601909118994923,0.09311006715046055,28.06518353132894,0.16430191265407923,0.05713201737856566,0.033940325789017844,0.3855713744548734,0.1545228543313591,0.13895784958830015,31.52828657124626,0.41530841131413077,0.068247054378622,0.21764867353427408,0.36095883574544363,9
raw+rugged+area+costwork+burden4,5,0.16601909118995137,0.093110067150451,28.06518353138307,0.16430191265419536,0.05713201737855789,0.033940325789017844,0.38557137445488576,0.15452285433137447,0.1389578495882664,31.528286571245644,0.41530841131413077,0.06824705437862066,0.21764867353427408,0.36095883574544885,9
net+raw+area+dist+burden4,5,0.16601909118995406,0.09311006715045145,28.06518353138827,0.16430191265407923,0.057132017378560995,0.033940325789017844,0.3855713744548846,0.15452285433136992,0.1389578495882744,31.528286571235174,0.41530841131405327,0.068247054378616,0.21764867353427408,0.36095883574545196,9
geo+rugged+area+dist+workload,5,0.16601909118995253,0.09311006715045123,28.06518353129325,0.16430191265407923,0.0571320173785661,0.033940325789017844,0.38557137445486855,0.15452285433136553,0.1389578495882906,31.528286571234823,0.41530841131405327,0.06824705437861733,0.21764867353427408,0.36095883574545096,9
net+raw+rugged+dist+burden4,5,0.16601909118994945,0.09311006715046122,28.065183531367452,0.16430191265413718,0.05713201737855944,0.033940325789009074,0.38557137445488965,0.15452285433137092,0.1389578495882724,31.52828657122121,0.41530841131413077,0.06824705437861822,0.21764867353420625,0.3609588357454479,9
geo+raw+rugged+dist+workload,5,0.16601909118996463,0.09311006715043257,28.065183531248817,0.16430191265419536,0.0571320173785681,0.03394032578899164,0.38557137445486517,0.15452285433137694,0.13895784958826352,31.52828657121918,0.41530841131405327,0.06824705437861978,0.21764867353427408,0.36095883574544857,9
geo+net+area+dist+workload,5,0.16601909118993885,0.09311006715048054,28.06518353144976,0.16430191265413718,0.057132017378565214,0.033940325789017844,0.3855713744548837,0.1545228543313605,0.1389578495882886,31.528286571217205,0.41530841131405327,0.06824705437862133,0.21764867353427408,0.36095883574543697,9
geo+net+rugged+dist+costwork,5,0.16601909118995398,0.09311006715045678,28.065183531349124,0.16430191265411798,0.057132017378556554,0.033940325789017844,0.3855713744549069,0.15452285433135937,0.1389578495882906,31.52828657120943,0.41530841131405327,0.06824705437862133,0.21764867353427408,0.3609588357454377,9
geo+rugged+area+workload+burden4,5,0.16601909118995628,0.09311006715044612,28.06518353138778,0.16430191265407923,0.05713201737857054,0.033940325789035275,0.3855713744548553,0.15452285433137303,0.1389578495882724,31.528286571199924,0.41530841131416907,0.06824705437860867,0.21764867353427408,0.3609588357454657,9
geo+raw+rugged+area+costwork,5,0.16601909118995908,0.09311006715044146,28.06518353122208,0.16430191265419536,0.05713201737856988,0.033940325789017844,0.3855713744548653,0.15452285433136637,0.13895784958829105,31.528286571181553,0.41530841131416907,0.06824705437861334,0.21764867353427408,0.36095883574546084,9
geo+net+rugged+area+burden4,5,0.16601909118994973,0.09311006715045966,28.065183531174263,0.1643019126541565,0.05713201737857365,0.033940325789017844,0.38557137445485173,0.1545228543313706,0.13895784958828106,31.52828657113575,0.4153084113139761,0.06824705437861778,0.21764867353427408,0.3609588357454547,9
net+rugged+dist+workload+costwork,5,0.1660190911899481,0.0931100671504641,28.065183531386424,0.1643019126541565,0.05713201737855389,0.033940325789017844,0.3855713744548958,0.1545228543313598,0.13895784958828838,31.52828657112491,0.41530841131413077,0.06824705437859513,0.21764867353427408,0.36095883574547627,9
geo+raw+rugged+dist+costwork,5,0.16601909118996003,0.09311006715043968,28.065183531265156,0.1643019126541565,0.05713201737856766,0.03394032578899164,0.3855713744548644,0.15452285433137838,0.13895784958826152,31.528286571078546,0.41530841131413077,0.06824705437861778,0.21764867353427408,0.3609588357454525,9
geo+area+dist+workload+costwork,5,0.16601909118997712,0.09311006715041281,28.065183531092657,0.1643019126541565,0.05713201737856366,0.033940325789017844,0.38557137445487544,0.1545228543313461,0.13895784958831991,31.528286571009403,0.41530841131405327,0.06824705437862022,0.21764867353427408,0.3609588357454281,9
geo+raw+area+dist+workload,5,0.16601909118996025,0.09311006715043812,28.065183531349344,0.16430191265413718,0.057132017378562994,0.033940325789017844,0.38557137445487466,0.1545228543313772,0.13895784958826507,31.528286571006685,0.4153084113139761,0.06824705437860756,0.21764867353420625,0.36095883574547183,9
net+rugged+area+workload+burden4,5,0.16601909118996186,0.093110067150457,28.065183531620733,0.1643019126541565,0.05713201737857698,0.033940325789009074,0.38557137445488926,0.15452285433136284,0.13895784958829505,31.52828657095904,0.41530841131405327,0.06824705437861311,0.21764867353434214,0.36095883574544096,9
geo+net+raw+area+burden4,5,0.16601909118991762,0.09311006715052716,28.065183531039697,0.16430191265413718,0.05713201737855633,0.033940325789009074,0.38557137445492157,0.15452285433133123,0.13895784958832502,31.528286570810128,0.4153084113139761,0.06824705437861134,0.21764867353420625,0.360958835745422,9
geo+net+area+workload+burden4,5,0.16601909118997274,0.09311006715040815,28.06518353141331,0.16430191265419536,0.05713201737857054,0.033940325789022174,0.38557137445483824,0.15452285433138419,0.13895784958825175,31.528286570662885,0.41530841131413077,0.06824705437862,0.21764867353427408,0.3609588357454529,9
geo+net+raw+area+costwork,5,0.1660190911899263,0.09311006715050918,28.065183531545404,0.16430191265407923,0.057132017378566324,0.033940325789017844,0.38557137445489104,0.1545228543313289,0.13895784958833368,31.528286569070683,0.41530841131413077,0.06824705437862844,0.21764867353416084,0.36095883574539517,9
geo+net+area+workload+costwork,5,0.16601909118991143,0.09311006715054004,28.06518353184333,0.16430191265419536,0.05713201737858231,0.033940325789009074,0.3855713744548645,0.1545228543313612,0.13895784958829482,31.528286568165413,0.41530841131405327,0.06824705437861422,0.21764867353427408,0.360958835745468,9
