source,scope,anchor,outcome,design,fe,high_treated_support,N,clusters,mean_y,kept_regs,D_b,D_se,D_p,PM_b,PM_se,PM_p,DM_b,DM_se,DM_p,D_plus_DM_b,D_plus_DM_se,D_plus_DM_p
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_arcsin,heterogeneous_D_DM,stackyear,4,412,141,0.437232697113832,"PM,D,DM",0.3666231794014597,0.2065894810208725,0.07595637018645768,-0.006119036823471667,0.08412888840092907,0.942017732942843,0.14847861905572718,0.5540168783921346,0.7886964070877697,0.5151017984571868,0.5136911174046415,0.31598334913885096
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_arcsin,heterogeneous_D_DM,provyear,4,396,137,0.437232697113832,"PM,D,DM",0.2173350972640091,0.1504108212269378,0.1484738333255902,-0.01781184208132941,0.10460970582525472,0.8647981981477171,0.08526600367938145,0.6121342917769891,0.8892186446754908,0.30260110094339054,0.6285778242202132,0.6302280128566609
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_rank,overall_D,stackyear,4,494,182,0.505352007279158,D,0.14308148116859815,0.08388269882105157,0.08805781664239323,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_rank,overall_D,provyear,4,482,179,0.505352007279158,D,-0.034493652505482565,0.14735507846290521,0.8149187854517668,,,,,,,,,
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_rank,heterogeneous_D_DM,stackyear,4,412,141,0.5087433689356825,"PM,D,DM",0.2116025343879644,0.09505933923485838,0.026013867679945204,0.011722548221111146,0.041584549904576114,0.7780227046447384,-0.07109424660537707,0.21082826407181443,0.7359555686718238,0.14050828778258734,0.18899340272724408,0.45720562356531025
CLDS,mech,signoff_or_issue_t,landuse_rentout_pct_v_rank,heterogeneous_D_DM,provyear,4,396,137,0.5087433689356825,"PM,D,DM",0.13095055613822118,0.09154588899857848,0.15259185674462228,-0.008230072062000228,0.05034047320358428,0.8701340833544919,-0.052139063397438054,0.2369520589829575,0.8258395675761725,0.07881149274078313,0.2523693856895895,0.7548229777696105
CLDS,mech,completed_t,landuse_rentout_pct_v_raw,overall_D,stackyear,9,486,180,25.55330350194553,D,12.469930313321402,9.41667430219406,0.18542357813050792,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_raw,overall_D,provyear,9,474,177,25.55330350194553,D,-12.753289473684216,19.279104713260015,0.5082863373954236,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_raw,heterogeneous_D_DM,stackyear,9,408,141,26.14484086799277,"PM,D,DM",16.177820958320453,12.073876232766219,0.18027693726269656,-0.9724002047405911,6.329415063423657,0.8778999651969999,2.0194385862174453,23.993817924631028,0.9329252818034434,18.1972595445379,20.923899826189544,0.38447106373851647
CLDS,mech,completed_t,landuse_rentout_pct_v_raw,heterogeneous_D_DM,provyear,9,392,137,26.14484086799277,"PM,D,DM",-13.254458973970465,19.359488388324937,0.4935652884409949,-2.1765075441002986,7.484520416283225,0.7712033649039134,3.8743798845258137,27.89684795067446,0.8895431160842735,-9.380079089444651,33.937863679704755,0.7822486961468411
CLDS,mech,completed_t,landuse_rentout_pct_v_miss0,overall_D,stackyear,9,536,198,24.203436117936114,D,12.50731715288704,9.058359999004141,0.1673562974165257,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_miss0,overall_D,provyear,9,532,197,24.203436117936114,D,-13.681361607142854,15.253173610411416,0.3697446345797125,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_miss0,heterogeneous_D_DM,stackyear,9,440,151,25.014008650519035,"PM,D,DM",16.493196194503845,12.055460648367296,0.17127764891873598,-0.556474432746451,5.874995665107843,0.9245379288894406,1.5835199445250892,23.798745085233755,0.9469495370813851,18.076716139028935,20.672929675703788,0.381892387983387
CLDS,mech,completed_t,landuse_rentout_pct_v_miss0,heterogeneous_D_DM,provyear,9,430,150,25.014008650519035,"PM,D,DM",-13.95130410380166,19.120943195470062,0.46561349131532337,-2.1092535951357347,6.887282212033688,0.7594117168877571,3.807125935561258,27.732473976785617,0.8908091390547224,-10.144178168240401,33.68248698594885,0.7632843315294474
CLDS,mech,completed_t,landuse_rentout_pct_v_any,overall_D,stackyear,9,486,180,0.556420233463035,D,0.14499031063527662,0.10550214871681264,0.16935236765629824,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_any,overall_D,provyear,9,474,177,0.556420233463035,D,0.3157894736842106,0.21991878562683043,0.15102033043449728,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_any,heterogeneous_D_DM,stackyear,9,408,141,0.5605786618444847,"PM,D,DM",0.3050642947637685,0.13280734013739212,0.02161626372235572,0.033839699981480266,0.0865842003509337,0.6959229243356644,-0.42477473100580765,0.25398371438551937,0.09443587723805859,-0.11971043624203914,0.21508734279780198,0.5778235627503053
CLDS,mech,completed_t,landuse_rentout_pct_v_any,heterogeneous_D_DM,provyear,9,392,137,0.5605786618444847,"PM,D,DM",0.3089446270578441,0.22046301343409339,0.16111108591006862,-0.029726191063075814,0.0924482950960463,0.7477982028273332,-0.20431636212841336,0.25203237785109817,0.41755230140167066,0.10462826492943073,0.3324203544453803,0.7529538570256868
CLDS,mech,completed_t,landuse_rentout_pct_v_high50,overall_D,stackyear,9,486,180,0.23994811932555124,D,0.10663577582071765,0.11000882782005007,0.33237640011314395,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_high50,overall_D,provyear,9,474,177,0.23994811932555124,D,-0.22368421052631587,0.2622941806314806,0.3937707879330522,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_high50,heterogeneous_D_DM,stackyear,9,408,141,0.24773960216998192,"PM,D,DM",0.11104245141021747,0.14492313038922486,0.44354766595718287,-0.031934235308403724,0.08040848901375507,0.6912568149661635,0.1344792769207317,0.27271722764645506,0.6219356820325106,0.24552172833094915,0.23362153405874017,0.29328710442250294
CLDS,mech,completed_t,landuse_rentout_pct_v_high50,heterogeneous_D_DM,provyear,9,392,137,0.24773960216998192,"PM,D,DM",-0.23629333181571688,0.26428496467716944,0.3712761932833222,-0.05475961245682779,0.09216768425140714,0.5524249768356657,0.07178088905257249,0.3161291889684511,0.8203756225730097,-0.1645124427631444,0.4099685312923712,0.6882135010138846
CLDS,mech,completed_t,landuse_rentout_pct_v_logit,overall_D,stackyear,9,486,180,-2.2209710115198256,D,1.6102664358035241,0.85047182931414,0.05830734011788729,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_logit,overall_D,provyear,9,474,177,-2.2209710115198256,D,0.4757848074584031,1.6411031530959101,0.7718792208336172,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_logit,heterogeneous_D_DM,stackyear,9,408,141,-2.1985129432479247,"PM,D,DM",2.325405959409375,1.0749055435534245,0.030513622942448537,-0.0017123868514847642,0.5978728076533985,0.9977147561397107,-0.8307334462842746,2.129295267330126,0.6964294872074823,1.4946725131251004,1.8540582162727555,0.4201490627443204
CLDS,mech,completed_t,landuse_rentout_pct_v_logit,heterogeneous_D_DM,provyear,9,392,137,-2.1985129432479247,"PM,D,DM",0.46146246837669697,1.6424662842739217,0.7787433489096998,-0.06219987258340781,0.7121715299478922,0.9304025869362537,0.048014763675917393,2.3508389582395126,0.9837047216400682,0.5094772320526144,2.865900497559011,0.8589019367532511
CLDS,mech,completed_t,landuse_rentout_pct_v_arcsin,overall_D,stackyear,9,486,180,0.4311344663074674,D,0.21774096841684698,0.13461349531297373,0.10576456405379797,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_arcsin,overall_D,provyear,9,474,177,0.4311344663074674,D,-0.05820906514697202,0.26330726835450824,0.8250387351980625,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_arcsin,heterogeneous_D_DM,stackyear,9,408,141,0.4372919257142479,"PM,D,DM",0.30133540737188225,0.17124259296122582,0.0784588675695587,-0.006508245677322915,0.09245835608651848,0.9438823723684925,-0.0514429756014316,0.3412755809932975,0.8801829113488622,0.24989243177045065,0.2978427463544391,0.4014648489186191
CLDS,mech,completed_t,landuse_rentout_pct_v_arcsin,heterogeneous_D_DM,provyear,9,392,137,0.4372919257142479,"PM,D,DM",-0.06292085302083678,0.264013177903319,0.8116292900297731,-0.020462621623640848,0.11012002772604756,0.8525850790947985,0.0331228366139342,0.38746855806799646,0.9318756417327974,-0.029798016406902578,0.46867326637108014,0.9493050477499556
CLDS,mech,completed_t,landuse_rentout_pct_v_rank,overall_D,stackyear,9,486,180,0.5053595923467274,D,0.1084310444760903,0.06289790047766933,0.0847220110143899,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_rank,overall_D,provyear,9,474,177,0.5053595923467274,D,0.09277539808290358,0.11787310546353735,0.4312358595663248,,,,,,,,,
CLDS,mech,completed_t,landuse_rentout_pct_v_rank,heterogeneous_D_DM,stackyear,9,408,141,0.5086475855502252,"PM,D,DM",0.1734337066791113,0.07867810436050329,0.027500071982353092,0.011999382562089428,0.04636536440017832,0.7957891209372667,-0.1153296616960379,0.1594621055528274,0.4695313366511147,0.058104044983073394,0.13898286685822542,0.6758986851660189
