scope,anchor,group,outcome,outcome_label,family,fe,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,farm-orientation top tercile,any_rentin,Any rented-in land,rent-in,stackyear,0.05096912613013021,0.070379282680707,0.4689390371259209,1014.0,100.0,0.19103194103194104,ok
adjacent,completed_t,farm-orientation top tercile,any_rentin,Any rented-in land,rent-in,provyear,-0.34336624127137005,0.14419765331657863,0.017255433979315286,1008.0,99.0,0.19103194103194104,ok
adjacent,completed_t,farm-orientation top tercile,asinh_rentin,asinh rented-in area,rent-in,stackyear,0.07356694908741059,0.1255308868233648,0.5578442016011217,1012.0,100.0,0.4471377839152204,ok
adjacent,completed_t,farm-orientation top tercile,asinh_rentin,asinh rented-in area,rent-in,provyear,-0.4445539856221079,0.3694489901999756,0.22886442088804904,1006.0,99.0,0.4471377839152204,ok
adjacent,completed_t,farm-orientation top tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.05908348341868161,0.10894968312894879,0.5876114114524124,1082.0,102.0,0.14766686355581807,ok
adjacent,completed_t,farm-orientation top tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,-0.20869439281662588,0.09816347341908924,0.03350423642513106,1074.0,100.0,0.14766686355581807,ok
adjacent,completed_t,farm-orientation top tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.028387917368678923,0.0237767701263409,0.2325034062418111,1082.0,102.0,0.01594802126402835,ok
adjacent,completed_t,farm-orientation top tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,-0.024668710323686276,0.017295140680708487,0.15377090162370322,1074.0,100.0,0.01594802126402835,ok
adjacent,completed_t,farm-orientation top tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.005608784967069156,0.019470400188893656,0.7732952483052727,1014.0,100.0,0.010442260442260442,ok
adjacent,completed_t,farm-orientation top tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,-0.025042138213339747,0.017623831550381292,0.15533864065404276,1008.0,99.0,0.010442260442260442,ok
adjacent,completed_t,farm-orientation top tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,0.03262604480274811,0.061450238671452474,0.5954642476168159,1014.0,100.0,0.17639827904118008,ok
adjacent,completed_t,farm-orientation top tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,-0.3506701982502608,0.1382778234713939,0.011213220365667959,1008.0,99.0,0.17639827904118008,ok
adjacent,completed_t,farm-orientation top tercile,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.05469604235525693,0.059559936564330056,0.3584429113165364,1080.0,102.0,0.8993487270574304,ok
adjacent,completed_t,farm-orientation top tercile,rb_farm_any,Any own-farm production,farm-exit,provyear,-0.21938738564773447,0.10677911524641114,0.039918546985544354,1072.0,100.0,0.8993487270574304,ok
adjacent,completed_t,farm-orientation top tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-1.149397728870167,0.7167418870792058,0.10879288402145305,1056.0,102.0,9.350813041622805,ok
adjacent,completed_t,farm-orientation top tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,-5.6834705214332075,2.182369301872419,0.009207122537202054,1048.0,100.0,9.350813041622805,ok
adjacent,completed_t,nonfarm-orientation top tercile,any_rentin,Any rented-in land,rent-in,stackyear,-0.041945878249979404,0.05024304498412995,0.40379687807782094,1218.0,108.0,0.09328891004283675,ok
adjacent,completed_t,nonfarm-orientation top tercile,any_rentin,Any rented-in land,rent-in,provyear,-0.0942398064592099,0.14288427495250455,0.5095404801183154,1214.0,106.0,0.09328891004283675,ok
adjacent,completed_t,nonfarm-orientation top tercile,asinh_rentin,asinh rented-in area,rent-in,stackyear,-0.07313196855505846,0.10822118524853964,0.499190567859101,1214.0,108.0,0.16179911330873553,ok
adjacent,completed_t,nonfarm-orientation top tercile,asinh_rentin,asinh rented-in area,rent-in,provyear,-0.018162305346775036,0.2576435304615662,0.9438005306239075,1210.0,106.0,0.16179911330873553,ok
adjacent,completed_t,nonfarm-orientation top tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,-0.09070590052323793,0.15249037189679812,0.5519568814449208,1284.0,112.0,1.2166666666666666,ok
adjacent,completed_t,nonfarm-orientation top tercile,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,0.2238527760426665,0.2568813742670129,0.38352230084766503,1280.0,111.0,1.2166666666666666,ok
adjacent,completed_t,nonfarm-orientation top tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,-0.07403435766781713,0.08998343446105592,0.41064709732102234,1284.0,112.0,0.30694444444444446,ok
adjacent,completed_t,nonfarm-orientation top tercile,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,0.016044144833559953,0.14054202681283287,0.9091117097934807,1280.0,111.0,0.30694444444444446,ok
adjacent,completed_t,nonfarm-orientation top tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.02994612176741484,0.05310225590348288,0.572799637101483,1218.0,108.0,0.2831984769157544,ok
adjacent,completed_t,nonfarm-orientation top tercile,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,0.018711797638545434,0.12678799674009933,0.8826715938550103,1214.0,106.0,0.2831984769157544,ok
adjacent,completed_t,nonfarm-orientation top tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,-0.05451319563720082,0.046792170387874005,0.24401624941946065,1216.0,108.0,0.08099094807050977,ok
adjacent,completed_t,nonfarm-orientation top tercile,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,-0.14533672568092285,0.12402524858011751,0.2412646076238174,1212.0,106.0,0.08099094807050977,ok
adjacent,completed_t,nonfarm-orientation top tercile,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.13278677247126902,0.05751686178831579,0.02096255766251373,1272.0,111.0,0.6727103672710367,ok
adjacent,completed_t,nonfarm-orientation top tercile,rb_farm_any,Any own-farm production,farm-exit,provyear,-0.060122353859827324,0.1577444227305151,0.7031010395528968,1268.0,110.0,0.6727103672710367,ok
adjacent,completed_t,nonfarm-orientation top tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-1.8942933092180345,0.5735132665410909,0.000956688851769198,1256.0,111.0,5.033628800334502,ok
adjacent,completed_t,nonfarm-orientation top tercile,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,-0.6678999015202711,1.4218043466568484,0.6385299672104232,1252.0,110.0,5.033628800334502,ok
adjacent,high_sat80_t,farmdep bottom tercile,any_rentin,Any rented-in land,rent-in,stackyear,-0.18627068119394416,0.09970141109815674,0.061722313876070085,814.0,91.0,0.09140518417462483,ok
