estimator,scope,sample,threshold,threshold_var,outcome,outcome_label,row,contrast,att,se,p,inference,ci_low,ci_high,boot_reps,raw_obs,raw_households,raw_counties,raw_county_cohort_counts,validator_drop_always_entities,validator_ignore_after_entities,valid_obs,valid_households,valid_counties,low_fit_obs,low_fit_households,low_fit_counties,low_treated_obs,low_treated_households,low_treated_counties,high_fit_obs,high_fit_households,high_fit_counties,high_treated_obs,high_treated_households,high_treated_counties,county_count_boot_frame
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.34010618114321445,0.24362018419140385,0.16269916333636864,analytic subgroup SE from differences,,,0.0,4385.0,2836.0,208.0,"{nan: 175, 2016.0: 17, 2018.0: 16}",110.0,150.0,4261.0,2726.0,208.0,,,,,,,,,,,,,
CS group-time ATT,adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.5082994211095982,0.10151943953562385,5.530872394398114e-07,direct county-cluster multiplier bootstrap for sample-split difference,0.29669304597294716,0.7199057962462494,999.0,4385.0,2836.0,208.0,"{nan: 175, 2016.0: 17, 2018.0: 16}",110.0,150.0,4261.0,2726.0,208.0,,,,,,,,,,,,,
BJS imputation DID,mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.1623428880106432,0.0539184958553104,0.0026047957038065,paired county bootstrap,0.0566626361342347,0.2680231398870517,999.0,,,,,,,,,,3139.0,2197.0,146.0,171.0,150.0,20.0,1585.0,1090.0,68.0,53.0,47.0,9.0,214.0
BJS imputation DID,mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.371974416676281,0.1340904687488679,0.0055362214275487,paired county bootstrap,0.1091570979284999,0.6347917354240622,999.0,,,,,,,,,,3135.0,2195.0,146.0,171.0,150.0,20.0,1583.0,1089.0,68.0,53.0,47.0,9.0,214.0
BJS imputation DID,mechanism,Mechanism sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.1549870325326737,0.0517789651455758,0.0027602974367206,paired county bootstrap,0.053500260847345,0.2564738042180025,999.0,,,,,,,,,,3114.0,2185.0,146.0,184.0,163.0,22.0,1581.0,1087.0,68.0,54.0,48.0,10.0,214.0
BJS imputation DID,mechanism,Mechanism sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.3573809484409571,0.128012831502077,0.0052422417664353,paired county bootstrap,0.1064757986968861,0.6082860981850282,999.0,,,,,,,,,,3110.0,2183.0,146.0,184.0,163.0,22.0,1579.0,1086.0,68.0,54.0,48.0,10.0,214.0
BJS imputation DID,adjacent,Adjacent sample,Completion,completed_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.1481090108018602,0.1104358398596793,0.1798776815932968,paired county bootstrap,-0.0683452353231113,0.3645632569268318,999.0,,,,,,,,,,2723.0,1848.0,142.0,154.0,133.0,20.0,1359.0,892.0,66.0,42.0,36.0,8.0,208.0
BJS imputation DID,adjacent,Adjacent sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.3100761887874634,0.2384459991570331,0.1934624568146782,paired county bootstrap,-0.1572779695603215,0.7774303471352484,999.0,,,,,,,,,,2720.0,1847.0,142.0,154.0,133.0,20.0,1357.0,891.0,66.0,42.0,36.0,8.0,208.0
BJS imputation DID,adjacent,Adjacent sample,High-saturation,high_sat80_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.1392301994750518,0.1031743980893227,0.1771877783513004,paired county bootstrap,-0.0629916207800207,0.3414520197301244,999.0,,,,,,,,,,2700.0,1837.0,142.0,166.0,145.0,21.0,1357.0,891.0,66.0,43.0,37.0,9.0,208.0
BJS imputation DID,adjacent,Adjacent sample,High-saturation,high_sat80_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.2929509946836153,0.2240368389183447,0.1910083744918631,paired county bootstrap,-0.1461612095963402,0.732063198963571,999.0,,,,,,,,,,2697.0,1836.0,142.0,166.0,145.0,21.0,1355.0,890.0,66.0,43.0,37.0,9.0,208.0
