anchor,spec,model,outcome,b,se,p,N,households,counties,treated_counties,control_counties,status
future_high,placebo_2013_14,prov_baseyear,asinh_transfer_in_area_zfill,.0142939941732035,.010668906,.18134435,100031,19483,297,17,280,ok
future_high,placebo_2013_14,provyear,any_transfer_in_zfill,.0093235963114152,.006130531,.12924165,108738,21717,336,17,319,ok
future_high,placebo_2013_14,provyear,asinh_operated_area_end,.0600712773008728,.045461163,.1873056,83203,17722,326,17,309,ok
future_high,placebo_2013_14,provyear,asinh_transfer_in_area_zfill,.0184404943767366,.0090653049,.042720497,108738,21717,336,17,319,ok
future_high,placebo_2013_14,yearfe,any_transfer_in_zfill,.0104861000223969,.0060125692,.082071111,108738,21717,336,17,319,ok
future_high,placebo_2013_14,yearfe,asinh_operated_area_end,.0465402563423895,.050543878,.35784349,83204,17722,326,17,309,ok
future_high,placebo_2013_14,yearfe,asinh_transfer_in_area_zfill,.0166710605098371,.0099149011,.093614362,108738,21717,336,17,319,ok
future_high,placebo_2014,prov_baseyear,any_transfer_in_zfill,.0011835862406646,.006590094,.85758883,100031,19483,297,17,280,ok
future_high,placebo_2014,prov_baseyear,asinh_operated_area_end,.0310019963508739,.053013038,.5591296,78691,16400,296,17,279,ok
future_high,placebo_2014,prov_baseyear,asinh_transfer_in_area_zfill,.0118562722576847,.012463985,.34225738,100031,19483,297,17,280,ok
future_high,placebo_2014,provyear,any_transfer_in_zfill,.0038126153105174,.0079552643,.63206857,108738,21717,336,17,319,ok
future_high,placebo_2014,provyear,asinh_operated_area_end,.0340461201465061,.053094625,.52182209,83203,17722,326,17,309,ok
future_high,placebo_2014,provyear,asinh_transfer_in_area_zfill,.0125374521118322,.009703313,.19722022,108738,21717,336,17,319,ok
future_high,placebo_2014,yearfe,any_transfer_in_zfill,.0036722798392433,.0074034366,.62020296,108738,21717,336,17,319,ok
future_high,placebo_2014,yearfe,asinh_operated_area_end,.0177963852382033,.053830508,.74115938,83204,17722,326,17,309,ok
future_high,placebo_2014,yearfe,asinh_transfer_in_area_zfill,.0039832003757917,.01085328,.71384752,108738,21717,336,17,319,ok
high17,linear_2009_2013,prov_baseyear,any_transfer_in_zfill,.004248943441594,.0034123769,.21405903,83626,19240,297,13,284,ok
high17,linear_2009_2013,prov_baseyear,asinh_operated_area_end,.0280628032554932,.016906023,.097991265,66242,16016,296,13,283,ok
high17,linear_2009_2013,prov_baseyear,asinh_transfer_in_area_zfill,.0035059451860195,.0046544578,.45190164,83626,19240,297,13,284,ok
high17,linear_2009_2013,provyear,any_transfer_in_zfill,.0049477429883276,.0033229103,.13744225,90146,21296,333,13,320,ok
high17,linear_2009_2013,provyear,asinh_operated_area_end,.0293871088057718,.017464215,.093404718,69434,17155,322,13,309,ok
high17,linear_2009_2013,provyear,asinh_transfer_in_area_zfill,.0060616201401824,.004413398,.17053653,90146,21296,333,13,320,ok
high17,linear_2009_2013,yearfe,any_transfer_in_zfill,.0063475310712814,.0030269099,.036746707,90146,21296,333,13,320,ok
high17,linear_2009_2013,yearfe,asinh_operated_area_end,.0263542736414435,.017617311,.13565122,69436,17156,323,13,310,ok
high17,linear_2009_2013,yearfe,asinh_transfer_in_area_zfill,.0098950552510131,.0056919893,.083064325,90146,21296,333,13,320,ok
high17,linear_2009_2014,prov_baseyear,any_transfer_in_zfill,.0027413042461566,.0018352513,.13632075,100031,19483,297,13,284,ok
high17,linear_2009_2014,prov_baseyear,asinh_operated_area_end,.0165969952061703,.014138333,.24138173,78691,16400,296,13,283,ok
high17,linear_2009_2014,prov_baseyear,asinh_transfer_in_area_zfill,.0053465221306207,.0033683097,.11351205,100031,19483,297,13,284,ok
high17,linear_2009_2014,provyear,any_transfer_in_zfill,.0032735096703612,.00191008,.087489076,108738,21717,336,13,323,ok
high17,linear_2009_2014,provyear,asinh_operated_area_end,.0202133844679955,.015502093,.19318594,83203,17722,326,13,313,ok
high17,linear_2009_2014,provyear,asinh_transfer_in_area_zfill,.0062032102066883,.003044677,.042395972,108738,21717,336,13,323,ok
high17,linear_2009_2014,yearfe,any_transfer_in_zfill,.0035160122146296,.0016600259,.034907177,108738,21717,336,13,323,ok
high17,linear_2009_2014,yearfe,asinh_operated_area_end,.0199110739772189,.016598752,.23118694,83204,17722,326,13,313,ok
high17,linear_2009_2014,yearfe,asinh_transfer_in_area_zfill,.0058460880096597,.0033121496,.07846754,108738,21717,336,13,323,ok
high17,placebo_2013,prov_baseyear,any_transfer_in_zfill,.0123567444373255,.0094407108,.19159071,83626,19240,297,13,284,ok
high17,placebo_2013,prov_baseyear,asinh_operated_area_end,.0733255063727954,.044787642,.10265878,66242,16016,296,13,283,ok
high17,placebo_2013,prov_baseyear,asinh_transfer_in_area_zfill,.0134504491069873,.012114302,.26777306,83626,19240,297,13,284,ok
high17,placebo_2013,provyear,any_transfer_in_zfill,.0130723655480102,.0086978888,.13380627,90146,21296,333,13,320,ok
high17,placebo_2013,provyear,asinh_operated_area_end,.0742682448428067,.046930082,.11451345,69434,17155,322,13,309,ok
high17,placebo_2013,provyear,asinh_transfer_in_area_zfill,.0158884993568911,.011804153,.1792179,90146,21296,333,13,320,ok
high17,placebo_2013,yearfe,any_transfer_in_zfill,.0157292753049315,.0079592625,.048957016,90146,21296,333,13,320,ok
high17,placebo_2013,yearfe,asinh_operated_area_end,.0765151694553449,.05891379,.19495386,69436,17156,323,13,310,ok
high17,placebo_2013,yearfe,asinh_transfer_in_area_zfill,.021158055566703,.012353322,.087693624,90146,21296,333,13,320,ok
high17,placebo_2013_14,prov_baseyear,any_transfer_in_zfill,.0082243186586091,.0074114273,.26803729,100031,19483,297,13,284,ok
high17,placebo_2013_14,prov_baseyear,asinh_operated_area_end,.0441436592703373,.04224867,.29694623,78691,16400,296,13,283,ok
high17,placebo_2013_14,prov_baseyear,asinh_transfer_in_area_zfill,.0204743538219038,.01202755,.089751296,100031,19483,297,13,284,ok
high17,placebo_2013_14,provyear,any_transfer_in_zfill,.0090227295899812,.0074484046,.22660971,108738,21717,336,13,323,ok
high17,placebo_2013_14,provyear,asinh_operated_area_end,.0554167051061574,.048463095,.25367984,83203,17722,326,13,313,ok
high17,placebo_2013_14,provyear,asinh_transfer_in_area_zfill,.0193894682432683,.0091212681,.034255829,108738,21717,336,13,323,ok
high17,placebo_2013_14,yearfe,any_transfer_in_zfill,.0088697740299959,.0072902781,.22459091,108738,21717,336,13,323,ok
high17,placebo_2013_14,yearfe,asinh_operated_area_end,.0623496334380032,.059720062,.29724669,83204,17722,326,13,313,ok
high17,placebo_2013_14,yearfe,asinh_transfer_in_area_zfill,.0133125371966774,.009852523,.17754941,108738,21717,336,13,323,ok
high17,placebo_2014,prov_baseyear,any_transfer_in_zfill,.0036857842978123,.0085447207,.66652626,100031,19483,297,13,284,ok
high17,placebo_2014,prov_baseyear,asinh_operated_area_end,.0117013996205878,.04269816,.78423852,78691,16400,296,13,283,ok
high17,placebo_2014,prov_baseyear,asinh_transfer_in_area_zfill,.0240124675027162,.014919586,.10858186,100031,19483,297,13,284,ok
high17,placebo_2014,provyear,any_transfer_in_zfill,.0040823811632362,.010336916,.69314426,108738,21717,336,13,323,ok
high17,placebo_2014,provyear,asinh_operated_area_end,.0305365472476294,.048052479,.52556044,83203,17722,326,13,313,ok
high17,placebo_2014,provyear,asinh_transfer_in_area_zfill,.0192729400866118,.011037949,.081716873,108738,21717,336,13,323,ok
high17,placebo_2014,yearfe,any_transfer_in_zfill,.0003521295292861,.009088506,.96911716,108738,21717,336,13,323,ok
high17,placebo_2014,yearfe,asinh_operated_area_end,.0370965673518377,.05430273,.49500275,83204,17722,326,13,313,ok
high17,placebo_2014,yearfe,asinh_transfer_in_area_zfill,.0014929903086162,.010944664,.89157706,108738,21717,336,13,323,ok
