group,sample,spec,outcome,b,se,p,N,households,counties,treated_counties,control_counties,status
high17_vs_never,full,linear_2009_2013,asinh_farm_income,-.0719522256436953,.045002818,.1108049,76188,20010,334,13,321,ok
high17_vs_never,full,linear_2009_2013,asinh_household_income_total,-.0422950150646393,.043211151,.32838792,89666,21937,335,13,322,ok
high17_vs_never,full,linear_2009_2013,asinh_operated_area_end,.0265797176788618,.017863562,.13773915,70185,18674,326,13,313,ok
high17_vs_never,full,linear_2009_2013,asinh_transfer_in_area_zfill,.0101378048752987,.0057717175,.079925895,89864,21946,335,13,322,ok
high17_vs_never,full,linear_2009_2014,any_transfer_in_zfill,.0036005503409171,.0016736173,.032162514,108181,22326,336,13,323,ok
high17_vs_never,full,linear_2009_2014,asinh_farm_income,-.0357907650653723,.022944873,.1197402,90821,20425,335,13,322,ok
high17_vs_never,full,linear_2009_2014,asinh_household_income_total,-.0328806848599182,.02740564,.23107338,107955,22317,336,13,323,ok
high17_vs_never,full,linear_2009_2014,asinh_operated_area_end,.0199708882090194,.016784925,.23498645,83740,19202,327,13,314,ok
high17_vs_never,full,linear_2009_2014,asinh_transfer_in_area_zfill,.0060085929958548,.003355494,.074248545,108181,22326,336,13,323,ok
high17_vs_never,full,placebo_2013,any_transfer_in_zfill,.0159275030313286,.0080141686,.047692478,89864,21946,335,13,322,ok
high17_vs_never,full,placebo_2013,asinh_farm_income,-.2711949656820568,.24216992,.263583,76188,20010,334,13,321,ok
high17_vs_never,full,placebo_2013,asinh_household_income_total,-.1669273342683985,.16496715,.31232682,89666,21937,335,13,322,ok
high17_vs_never,full,placebo_2013,asinh_operated_area_end,.0770074477304119,.0597183,.19813718,70185,18674,326,13,313,ok
high17_vs_never,full,placebo_2013,asinh_transfer_in_area_zfill,.0216303846798029,.012482364,.084040768,89864,21946,335,13,322,ok
high17_vs_never,full,placebo_2013_14,any_transfer_in_zfill,.0090848920131406,.0073331213,.21625552,108181,22326,336,13,323,ok
high17_vs_never,full,placebo_2013_14,asinh_farm_income,-.1417380241728574,.12304614,.25018212,90821,20425,335,13,322,ok
high17_vs_never,full,placebo_2013_14,asinh_household_income_total,-.1301750809474025,.10314376,.20780002,107955,22317,336,13,323,ok
high17_vs_never,full,placebo_2013_14,asinh_operated_area_end,.062377432842174,.060377214,.30230948,83740,19202,327,13,314,ok
high17_vs_never,full,placebo_2013_14,asinh_transfer_in_area_zfill,.013688783269429,.0099592814,.170213,108181,22326,336,13,323,ok
high17_vs_never,full,placebo_2014,any_transfer_in_zfill,.0005354313620442,.0091424687,.95333326,108181,22326,336,13,323,ok
high17_vs_never,full,placebo_2014,asinh_farm_income,.0407769882479471,.1056337,.69972575,90821,20425,335,13,322,ok
high17_vs_never,full,placebo_2014,asinh_household_income_total,-.0675080132292266,.069540501,.33236188,107955,22317,336,13,323,ok
high17_vs_never,full,placebo_2014,asinh_operated_area_end,.0366042789366067,.05489042,.50533265,83740,19202,327,13,314,ok
high17_vs_never,full,placebo_2014,asinh_transfer_in_area_zfill,.0016733725379702,.01110339,.88029659,108181,22326,336,13,323,ok
high17_vs_not17,countybal,linear_2009_2013,any_transfer_in_zfill,.0057716946388635,.0022556905,.011248906,62909,13676,200,6,194,ok
high17_vs_not17,countybal,linear_2009_2013,asinh_farm_income,-.1191183599527194,.070104711,.090853751,53583,12567,200,6,194,ok
high17_vs_not17,countybal,linear_2009_2013,asinh_household_income_total,-.0757523807014906,.073296443,.3026211,62786,13671,200,6,194,ok
high17_vs_not17,countybal,linear_2009_2013,asinh_operated_area_end,.0293240120770548,.030207286,.33286446,49909,11858,197,6,191,ok
high17_vs_not17,countybal,linear_2009_2013,asinh_transfer_in_area_zfill,.0083659006481431,.0069768811,.23191923,62909,13676,200,6,194,ok
high17_vs_not17,countybal,linear_2009_2014,any_transfer_in_zfill,.0043768157031923,.0013662244,.0015807218,75474,13819,200,6,194,ok
high17_vs_not17,countybal,linear_2009_2014,asinh_farm_income,-.0551973623284778,.032072689,.086803541,63601,12727,200,6,194,ok
high17_vs_not17,countybal,linear_2009_2014,asinh_household_income_total,-.053487286186637,.046903189,.25550017,75336,13814,200,6,194,ok
high17_vs_not17,countybal,linear_2009_2014,asinh_operated_area_end,.0225902431073406,.029854652,.45015371,59306,12102,197,6,191,ok
high17_vs_not17,countybal,linear_2009_2014,asinh_transfer_in_area_zfill,.0055018631459853,.0038905526,.15887757,75474,13819,200,6,194,ok
high17_vs_not17,countybal,placebo_2013,any_transfer_in_zfill,.0212155662192589,.0096114436,.028434427,62909,13676,200,6,194,ok
high17_vs_not17,countybal,placebo_2013,asinh_farm_income,-.4832347181506746,.3444449,.1621937,53583,12567,200,6,194,ok
high17_vs_not17,countybal,placebo_2013,asinh_household_income_total,-.2858438314477816,.26138607,.27546585,62786,13671,200,6,194,ok
high17_vs_not17,countybal,placebo_2013,asinh_operated_area_end,.0797535975310308,.093952514,.39698845,49909,11858,197,6,191,ok
high17_vs_not17,countybal,placebo_2013,asinh_transfer_in_area_zfill,.0246926776308237,.014921812,.099540509,62909,13676,200,6,194,ok
high17_vs_not17,countybal,placebo_2013_14,any_transfer_in_zfill,.0164771331268443,.0064343745,.011184228,75474,13819,200,6,194,ok
high17_vs_not17,countybal,placebo_2013_14,asinh_farm_income,-.2483889549536223,.17419051,.15544625,63601,12727,200,6,194,ok
high17_vs_not17,countybal,placebo_2013_14,asinh_household_income_total,-.2079206520708548,.16935305,.22099674,75336,13814,200,6,194,ok
high17_vs_not17,countybal,placebo_2013_14,asinh_operated_area_end,.0671729932477653,.10208817,.5113166,59306,12102,197,6,191,ok
high17_vs_not17,countybal,placebo_2013_14,asinh_transfer_in_area_zfill,.0172249778985449,.011183478,.12509619,75474,13819,200,6,194,ok
high17_vs_not17,countybal,placebo_2014,any_transfer_in_zfill,.0071076338497927,.0085568409,.40717384,75474,13819,200,6,194,ok
high17_vs_not17,countybal,placebo_2014,asinh_farm_income,.0870604355564154,.12365218,.48220897,63601,12727,200,6,194,ok
high17_vs_not17,countybal,placebo_2014,asinh_household_income_total,-.067806533239683,.11106092,.54220438,75336,13814,200,6,194,ok
high17_vs_not17,countybal,placebo_2014,asinh_operated_area_end,.0379923451606969,.092693262,.68234771,59306,12102,197,6,191,ok
high17_vs_not17,countybal,placebo_2014,asinh_transfer_in_area_zfill,.0040113917610283,.01322093,.76189268,75474,13819,200,6,194,ok
