scope,anchor,design,a3_group,orientation,outcome,outcome_label,family,fe,term,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,top farmdep group DID,-1.16856480092767,0.78751609085522,0.13784566981888619,1210,83,6.273854553543186,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,bottom group DID,-2.10544941030562,0.6814155820860357,0.0020027989306770507,1206,82,6.273854553543186,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,top farmdep-minus-bottom differential,0.36788749416530275,2.1110002041690143,0.8616519762958542,1206,82,6.273854553543186,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,top farmdep group DID,-1.737561916140317,2.1253854408673463,0.41362680648206973,1206,82,6.273854553543186,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,any_rentin,Any rented-in land,rent-in,stackyear,bottom group DID,-0.11399314277669634,0.10612361316361142,0.2827534998620458,1198,83,0.1377952755905512,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,any_rentin,Any rented-in land,rent-in,stackyear,top farm-orientation-minus-bottom differential,0.12508958384455765,0.1021375984062802,0.22068212225157102,1198,83,0.1377952755905512,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,any_rentin,Any rented-in land,rent-in,stackyear,top farm-orientation group DID,0.011096441067861312,0.06845165715885425,0.8712221888859608,1198,83,0.1377952755905512,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,any_rentin,Any rented-in land,rent-in,provyear,bottom group DID,-0.24499081456618776,0.09872748314439334,0.01308360456581014,1188,82,0.1377952755905512,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,any_rentin,Any rented-in land,rent-in,provyear,top farm-orientation-minus-bottom differential,0.005920156486394903,0.10771766333157995,0.9561703774994597,1188,82,0.1377952755905512,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,any_rentin,Any rented-in land,rent-in,provyear,top farm-orientation group DID,-0.23907065807979286,0.1494679691226152,0.10971453745013929,1188,82,0.1377952755905512,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,asinh_rentin,asinh rented-in area,rent-in,stackyear,bottom group DID,-0.21516879053370805,0.18806712101405024,0.2525795275913676,1194,83,0.2929452900086305,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,asinh_rentin,asinh rented-in area,rent-in,stackyear,top farm-orientation-minus-bottom differential,0.14845549784786669,0.1989743760177222,0.45560483604751056,1194,83,0.2929452900086305,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,asinh_rentin,asinh rented-in area,rent-in,stackyear,top farm-orientation group DID,-0.06671329268584136,0.13371839682429443,0.6178435932780296,1194,83,0.2929452900086305,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,asinh_rentin,asinh rented-in area,rent-in,provyear,bottom group DID,-0.3133192784982486,0.16918499463457026,0.06403544126472285,1184,82,0.2929452900086305,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,asinh_rentin,asinh rented-in area,rent-in,provyear,top farm-orientation-minus-bottom differential,-0.033157225745821674,0.24296233083326144,0.8914492301354966,1184,82,0.2929452900086305,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,asinh_rentin,asinh rented-in area,rent-in,provyear,top farm-orientation group DID,-0.3464765042440703,0.3163738219024228,0.273451323701831,1184,82,0.2929452900086305,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,bottom group DID,-0.1142011302869149,0.10492293076139456,0.27640589204353305,1196,83,0.1206896551724138,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,top farm-orientation-minus-bottom differential,0.1208720116562073,0.10058518371893141,0.22948441903376948,1196,83,0.1206896551724138,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,top farm-orientation group DID,0.006670881369292392,0.06782817810096484,0.9216546098445677,1196,83,0.1206896551724138,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,bottom group DID,-0.25155239629658044,0.09490026804272252,0.008032451306658217,1186,82,0.1206896551724138,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,top farm-orientation-minus-bottom differential,0.009997209709488055,0.10632944973688266,0.9250924114212957,1186,82,0.1206896551724138,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,top farm-orientation group DID,-0.24155518658709238,0.14457043102010733,0.09475174432383329,1186,82,0.1206896551724138,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,bottom group DID,0.06344694227895681,0.241680623116029,0.7929175536730032,1262,84,0.5511961722488038,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,top farm-orientation-minus-bottom differential,-0.04684985304068656,0.27301574734428513,0.8637509972396652,1262,84,0.5511961722488038,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,top farm-orientation group DID,0.016597089238270246,0.10486432136544444,0.8742424454874126,1262,84,0.5511961722488038,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,bottom group DID,0.2973364468473378,0.15875719112667094,0.06108210508230768,1254,83,0.5511961722488038,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,top farm-orientation-minus-bottom differential,0.29670204659732985,0.3010225253788739,0.3243062067794954,1254,83,0.5511961722488038,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,top farm-orientation group DID,0.5940384934446676,0.27571304477914993,0.031196794606239878,1254,83,0.5511961722488038,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,bottom group DID,-0.03554751143737368,0.11865872450327984,0.764499272599458,1262,84,0.1444976076555024,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,top farm-orientation-minus-bottom differential,0.0532532943489463,0.12073206225825667,0.65915030707072,1262,84,0.1444976076555024,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,top farm-orientation group DID,0.01770578291157262,0.025686808913859722,0.4906377917104968,1262,84,0.1444976076555024,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,bottom group DID,0.09631888238442143,0.06537551778219787,0.14066549371389697,1254,83,0.1444976076555024,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,top farm-orientation-minus-bottom differential,0.2107059171097504,0.1469879044215531,0.1517174155909258,1254,83,0.1444976076555024,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,top farm-orientation group DID,0.30702479949417183,0.1272725920118041,0.01585048078073105,1254,83,0.1444976076555024,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,bottom group DID,0.036553545466874074,0.0789301955207176,0.6432838641543217,1198,83,0.12992125984251968,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,top farm-orientation-minus-bottom differential,-0.015242942413709503,0.08430820541119967,0.8565243873709877,1198,83,0.12992125984251968,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,top farm-orientation group DID,0.02131060305316457,0.028854243580814398,0.4601739490085165,1198,83,0.12992125984251968,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,bottom group DID,0.12543330051392187,0.058919891245644576,0.033264298816329266,1188,82,0.12992125984251968,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,top farm-orientation-minus-bottom differential,0.06121626972200346,0.1437219426974479,0.6701548856603181,1188,82,0.12992125984251968,ok
adjacent,completed_t,low insecurity: top-vs-bottom farm_orientation,low insecurity,farm_orientation,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,top farm-orientation group DID,0.18664957023592532,0.12810963661562502,0.1451296758789582,1188,82,0.12992125984251968,ok
