scope,anchor,design,group,outcome,outcome_label,family,fe,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,any_rentin,Any rented-in land,rent-in,stackyear,0.02857142857142861,0.10663319005880066,0.7887445532899603,340.0,33.0,0.08156028368794327,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,any_rentin,Any rented-in land,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,asinh_rentin,asinh rented-in area,rent-in,stackyear,0.0402473751269367,0.11525475052839018,0.7269364550847096,338.0,33.0,0.12035488866242336,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,asinh_rentin,asinh rented-in area,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,0.02857142857142861,0.10663319005880066,0.7887445532899603,340.0,33.0,0.0673758865248227,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.6761904761904761,0.15012156668696822,6.659645803918618e-06,348.0,33.0,1.1357388316151202,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.14285714285714304,0.05340352694401348,0.007471794675487979,348.0,33.0,0.31443298969072164,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.1714285714285716,0.059003596531540664,0.0036679352454493126,340.0,33.0,0.3102836879432624,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.33333333333333326,0.04103259031068201,4.524662136828919e-16,346.0,33.0,0.5709342560553633,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,rb_farm_any,Any own-farm production,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-2.3855652519961636,0.6498528268985093,0.00024166805038087637,346.0,33.0,2.4279735438192,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,any_rentin,Any rented-in land,rent-in,stackyear,0.1618037135278517,0.0683990513551223,0.018001650524959077,318.0,33.0,0.20934959349593496,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,any_rentin,Any rented-in land,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,asinh_rentin,asinh rented-in area,rent-in,stackyear,0.3730092430989216,0.15287217556541285,0.014686960132182554,318.0,33.0,0.44536941791372814,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,asinh_rentin,asinh rented-in area,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,0.1790450928381966,0.06750557106471157,0.007994524067854317,318.0,33.0,0.1991869918699187,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.16007714561234304,0.294969265637014,0.5873426188930613,342.0,34.0,0.2771317829457364,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.05062680810028921,0.04639157310654711,0.2751438905364444,342.0,34.0,0.046511627906976744,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,,,,,,,error: no regressors after FE
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep top,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.0,0.024761045890250223,1.0,318.0,33.0,0.036585365853658534,ok
