sample_scope,threshold,outcome,weight_spec,lower_b,lower_se,lower_p,diff_b,diff_se,diff_p,high_total_b,high_total_se,high_total_p,N,households,clusters,meandv
mech,high_sat80_t,any_rentin,county_bal,-.0085401420761254,.040692583,.83407885,.1832974,.065893874,.0061643156,.17475726,.051999588,.0010056394,3024,1512,139,.1402116402116402
mech,high_sat80_t,any_rentin,ipw2014,-.0511444757310904,.05377743,.34334898,.14727592,.063918002,.022801021,.096131444,.034561113,.0062162811,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,ipw2014_simple,-.0504199663483306,.052031972,.33433515,.15710698,.061424468,.011683477,.10668702,.032961674,.0015342168,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,ipw_simple_x_count,-.0043692787786783,.042827807,.91889828,.120334,.072450452,.099140622,.11596472,.058671691,.050214708,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,ipw_x_county,-.0049224640843407,.043924116,.91094279,.10984618,.073293045,.13636918,.10492372,.058773994,.07655967,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,overlap2014,-.0562871684671559,.057771638,.33171481,.15374415,.066896148,.023143977,.097456984,.033748303,.0045460034,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,overlap_x_county,-.0066025367595461,.047491387,.88964474,.11387544,.075190321,.13232765,.10727291,.058392938,.068480879,2670,1335,131,.1382022471910112
mech,high_sat80_t,any_rentin,unweighted,-.043757728615791,.049607392,.37926695,.20998295,.061743081,.00087872683,.16622521,.036875464,.000013859674,3024,1512,139,.1402116402116402
mech,high_sat80_t,asinh_rentin,county_bal,-.0211890553642936,.075701691,.77997178,.43452436,.17005108,.011694547,.41333529,.15233271,.0075094439,3018,1509,139,.2931556382874959
mech,high_sat80_t,asinh_rentin,ipw2014,-.1233157159004619,.094435595,.19392042,.33205906,.12931977,.011367568,.20874333,.088617295,.019990459,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,ipw2014_simple,-.1082090915732352,.094402008,.25379378,.33826798,.13136171,.011140451,.23005888,.09222842,.013869322,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,ipw_simple_x_count,-.021922254564924,.079594232,.78342694,.33997479,.19353808,.081335478,.31805253,.17684774,.074425481,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,ipw_x_county,-.0406522739283281,.078982525,.60763693,.33571661,.19022125,.079933174,.29506433,.17322576,.090891801,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,overlap2014,-.1351821713678728,.10054061,.18111099,.34383732,.13343249,.011086225,.20865513,.088077098,.019307956,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,overlap_x_county,-.0448226081125864,.084478982,.5966171,.34214967,.19304074,.078666873,.29732707,.17375854,.089438275,2664,1332,131,.2761146246706699
mech,high_sat80_t,asinh_rentin,unweighted,-.0915733287114909,.08696688,.29419592,.4551743,.15507732,.0039064805,.36360097,.12858257,.0053856312,3018,1509,139,.2931556382874959
