sample,outcome,spec,term,b,se,p,N,households,counties,treated_counties
overlap,asinh_farm_income,threshold,hybrid_rate_any_t,.2124955119105028,.12195289,.092028938,3285,471,30,22
overlap,asinh_farm_income,threshold,hybrid_rate_high_t,.163174766973387,.058777664,.027450513,660,134,8,4
overlap,asinh_farm_income,threshold,hybrid_rate_mid_t,.0865054272484133,.18725352,.65811747,660,134,8,4
overlap,asinh_operated_area_end,stage,stage1_vs0,-.0104039085747155,.039635081,.79486352,2811,437,29,
overlap,asinh_operated_area_end,stage,stage2_vs0,.0401425048808364,.059956625,.50864404,2811,437,29,
overlap,asinh_operated_area_end,stage,stage3_minus_stage1,.0898325145656248,.041058451,.037183244,2811,437,29,
overlap,asinh_operated_area_end,stage,stage3_minus_stage2,.039286101110073,.063404724,.54052538,2811,437,29,
overlap,asinh_operated_area_end,stage,stage3_vs0,.0794286059909093,.037514728,.043252107,2811,437,29,
overlap,asinh_operated_area_end,threshold,hybrid_rate_any_t,.0628408938883308,.034724936,.081093505,2811,437,29,22
overlap,asinh_operated_area_end,threshold,hybrid_rate_high_t,.1374791061032621,.032092769,.0036383127,531,121,8,4
overlap,asinh_operated_area_end,threshold,hybrid_rate_mid_t,.1702890771157424,.084644757,.084140942,531,121,8,4
overlap,asinh_transfer_in_area_z,stage,stage1_vs0,.0141768360678713,.0082366206,.095868878,3707,500,30,
overlap,asinh_transfer_in_area_z,stage,stage2_vs0,-.0430597052014588,.020996828,.049422037,3707,500,30,
overlap,asinh_transfer_in_area_z,stage,stage3_minus_stage1,-.0451283323108858,.016412666,.010164834,3707,500,30,
overlap,asinh_transfer_in_area_z,stage,stage3_minus_stage2,.0121082089584443,.019467255,.5388158,3707,500,30,
overlap,asinh_transfer_in_area_z,stage,stage3_vs0,-.0309514962430145,.021066576,.15253791,3707,500,30,
overlap,asinh_transfer_in_area_z,threshold,hybrid_rate_any_t,-.0326233741144718,.018621333,.090354919,3707,500,30,22
overlap,asinh_transfer_in_area_z,threshold,hybrid_rate_high_t,.0297795118842254,.01994073,.17897198,738,144,8,4
overlap,asinh_transfer_in_area_z,threshold,hybrid_rate_mid_t,-.0039417658996496,.0071285153,.59750009,738,144,8,4
overlap,farm_income_share,stage,stage1_vs0,.1894892222390006,.024363764,1.4113244e-08,3285,471,30,
overlap,farm_income_share,stage,stage2_vs0,-.0271506694800739,.052527223,.60915452,3285,471,30,
overlap,farm_income_share,stage,stage3_minus_stage1,-.1525670224505531,.02436783,7.8034833e-07,3285,471,30,
overlap,farm_income_share,stage,stage3_minus_stage2,.0640728692685215,.05369956,.24247216,3285,471,30,
overlap,farm_income_share,stage,stage3_vs0,.0369221997884475,.035091076,.30140477,3285,471,30,
overlap,farm_income_share,threshold,hybrid_rate_any_t,.0252796388771595,.03194268,.43513241,3285,471,30,22
overlap,farm_income_share,threshold,hybrid_rate_high_t,-.041976501042194,.047279175,.40409803,660,134,8,4
overlap,farm_income_share,threshold,hybrid_rate_mid_t,-.109225491191104,.043473553,.040251944,660,134,8,4
